id	text	property	subject	object
0	He spent more than 25 years with ABC, CBS, and NBC News Division in New York and Washington, D.C. and more than two decades as a freelance writer and producer.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Craig_B._Fisher	http://dbpedia.org/resource/CBS
1	Michael Elkins (born New York, USA, 22 January 1917, died Jerusalem, Israel, 10 March 2001) was an American broadcaster and journalist who worked for the American network, CBS, for the magazine Newsweek and then for 17 years with the BBC.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Michael_Elkins	http://dbpedia.org/resource/CBS
2	Glenn Branch is the Deputy Director of the National Center for Science Education and a prominent critic of creationism and its offshoot, intelligent design.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Glenn_Branch	http://dbpedia.org/resource/National_Center_for_Science_Education
3	Peter Morales is the president of the Unitarian Universalist Association, elected in 2009.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Peter_Morales	http://dbpedia.org/resource/Unitarian_Universalist_Association
4	As manager of Valmet, Wrede participated in developing of Valmet tractors.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Gustaf_Wrede	http://dbpedia.org/resource/Valmet
5	David Boies (born March 11, 1941) is an American lawyer and chairman of the law firm Boies, Schiller & Flexner.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/David_Boies	http://dbpedia.org/resource/Boies,_Schiller_&_Flexner
6	Dionisio Loya Plancarte (born 21 October 1955) is a Mexican drug lord and high-ranking leader of the Knights Templar Cartel, a quasi-religious criminal organization based in the state of Michoacán.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Dionisio_Loya_Plancarte	http://dbpedia.org/resource/Knights_Templar_Cartel
7	Following that she joined the Galway Bay FM newsroom and produced the station's current affairs programme.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Sinéad_Ní_Neachtain	http://dbpedia.org/resource/Galway_Bay_FM
8	Jeff Broin (born August 25, 1965) is the founder of U.S.-based POET, LLC, a producer of ethanol and other biorefined products.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Jeff_Broin	http://dbpedia.org/resource/POET
9	Jacqui Hurley (born 1984, in County Cork) is an Irish athlete, sports manager, sports broadcaster and chat show host employed by Raidió Teilifís Éireann (RTÉ).	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Jacqui_Hurley	http://dbpedia.org/resource/Raidió_Teilifís_Éireann
10	Joseph \"Joe\" Duffy (born 27 January 1956) is an Irish broadcaster employed by Raidió Teilifís Éireann (RTÉ).	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Joe_Duffy	http://dbpedia.org/resource/Raidió_Teilifís_Éireann
11	He works for Raidió Teilifís Éireann (RTÉ) and is considered \"one of the most popular voices on radio\".	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Michael_Murphy_(journalist)	http://dbpedia.org/resource/Raidió_Teilifís_Éireann
12	Since 2012, Mr. Nachev has been a conductor with Shen Yun Performing Arts—an international touring company based in New York.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Milen_Nachev	http://dbpedia.org/resource/Shen_Yun_Performing_Arts
13	He is the Past President of Storeboard Media LLC, a media sales company with the exclusive right to place advertisements on security pedestals in stores across the United States.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Rick_Sirvaitis	http://dbpedia.org/resource/Storeboard_Media
14	Shin Fujiyama is a Japanese-American philanthropist who co-founded Students Helping Honduras.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Shin_Fujiyama	http://dbpedia.org/resource/Students_Helping_Honduras
15	Michael Mainelli is Chairman of Z/Yen, a commercial think-tank, which he co-founded in 1994.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Michael_Mainelli	http://dbpedia.org/resource/Z/Yen
16	He continues to work as an independent consultant with various publishers in the games industry.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Bob_Bates	http://dbpedia.org/resource/Zynga
17	Pierce was most notable for leading the firm of A.A. Housman & Company through the 1920s and 1930s and turning the firm into the largest brokerage in the U.S. The firm, which was renamed E.A. Pierce & Co. in recognition of Pierce was one of the predecessors of Merrill Lynch, Pierce, Fenner & Smith.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Edward_A._Pierce	http://dbpedia.org/resource/E.A._Pierce_&_Co.
18	His first television job was as a reporter at KIEM-TV in Eureka, California in 1984.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Marc_Brown_(journalist)	http://dbpedia.org/resource/KIEM-TV
19	Simone Legno (born June 16, 1977) is an Italian artist best known for the creation of the tokidoki brand.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Simone_Legno	http://dbpedia.org/resource/Tokidoki
20	He served as chief of endocrinology and as associate dean of the University of Oklahoma College of Medicine.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Henry_Turner_(endocrinologist)	http://dbpedia.org/resource/University_of_Oklahoma_College_of_Medicine
21	François J. Castaing (born 1945 in Marseille) is a veteran automotive executive with Renault, American Motors, and Chrysler.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/François_Castaing	http://dbpedia.org/resource/American_Motors
22	He designed the Yakovlev military aircraft and founded the Yakovlev Design Bureau.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Alexander_Sergeyevich_Yakovlev	http://dbpedia.org/resource/Yakovlev
23	She still writes primarily for Sho-Comi, with her serialized works also published in collected volumes by Shogakukan, the company that publishes Sho-Comi.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Rie_Takada	http://dbpedia.org/resource/Shogakukan
24	Dumitru Matcovschi (20 October 1939 – 26 June 2013) was a writer from Moldova who was a member of the Academy of Sciences of Moldova.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Dumitru_Matcovschi	http://dbpedia.org/resource/Academy_of_Sciences_of_Moldova
25	He was a member of the Academy of Sciences of Moldova and an honorary member of the Romanian Academy.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Petru_Soltan	http://dbpedia.org/resource/Academy_of_Sciences_of_Moldova
26	Since 2014, Humes has hosted BBC One's The Voice UK with Emma Willis as well as creating a DJ-Producer-dance act LuvBug.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Marvin_Humes	http://dbpedia.org/resource/BBC_One
27	He is an adjunct faculty member at Black Hawk College and Augustana College.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Shawn_Hamerlinck	http://dbpedia.org/resource/Black_Hawk_College
28	Betty W. Liu is a news anchor for Bloomberg Television, a subsidiary of Bloomberg L.P.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Betty_Liu	http://dbpedia.org/resource/Bloomberg_L.P.
29	He is currently vice president of global communications, marketing and public policy at Facebook, where he directs the company's government affairs and public relations efforts.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Elliot_Schrage	http://dbpedia.org/resource/Facebook
30	May 1, 2001) was an American intern at the Federal Bureau of Prisons in Washington, D.C., who disappeared in May 2001.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Chandra_Levy	http://dbpedia.org/resource/Federal_Bureau_of_Prisons
31	He was a professor of statistics in the Industrial and Systems Engineering Department at the Georgia Institute of Technology from 1960 through 1991, and taught in China and Turkey.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Harrison_Wadsworth,_Jr.	http://dbpedia.org/resource/Georgia_Institute_of_Technology
32	Degree and M.S. Degrees from the Georgia Institute of Technology and his PhD from Case Western Reserve University.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Harrison_Wadsworth,_Jr.	http://dbpedia.org/resource/Georgia_Institute_of_Technology
33	He taught at Illinois Institute of Technology, Georgia Institute of Technology and Stanford University.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/William_Alden_Edson	http://dbpedia.org/resource/Georgia_Institute_of_Technology
34	William Felix Browder (born 23 April 1964) is the Chief Executive Officer and co-founder of the investment fund Hermitage Capital Management and noted critic of Vladimir Putin.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Bill_Browder	http://dbpedia.org/resource/Hermitage_Capital_Management
35	Howard Dearing Johnson (February 2, 1897 – June 20, 1972) was an entrepreneur, businessman, and the founder of an American chain of restaurants and motels under one company of the same name, Howard Johnson's.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Howard_Deering_Johnson	http://dbpedia.org/resource/Howard_Johnson's
36	Loresca currently works at KTRK-TV in Houston, Texas.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Elita_Loresca	http://dbpedia.org/resource/KTRK-TV
37	Tomasz Schafernaker (born 8 January 1979) is a Polish-British meteorologist for the Met Office, best known for his appearances for BBC Weather.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Tomasz_Schafernaker	http://dbpedia.org/resource/Met_Office
38	She was the co-host with David Reyne of the Network Ten's morning show 9am with David and Kim which aired until 11 December 2009 and was replaced by The Circle.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Kim_Watkins	http://dbpedia.org/resource/Network_Ten
39	Michel Klyne (2 July 1781 – 1868) was an employee of the North West Company and later the Hudson's Bay Company, serving as postmaster at Jasper House in the Rocky Mountains.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Michel_Klyne	http://dbpedia.org/resource/North_West_Company
40	She was the CEO of Petrobras-Petróleo Brasil, Brazil’s state-controlled oil company, which is located in Rio de Janeiro.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Maria_das_Graças_Silva_Foster	http://dbpedia.org/resource/Petrobras
41	In October 2007, Marchick joined The Carlyle Group, a Washington, D.C. based asset management firm as managing director and its global head of regulatory affairs.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/David_Marchick	http://dbpedia.org/resource/The_Carlyle_Group
42	Andrew Wilson (born December 26, 1950), full name Andrew Murray Wilson, is the Director of Scriptural Research and Professor of Scriptural Studies of the Unification Theological Seminary (UTS), the main seminary of the international Unification Church.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Andrew_Wilson_(academic)	http://dbpedia.org/resource/Unification_Theological_Seminary
43	He was the seventh President of the Methodist Church Ghana and a professor at the University of Ghana, Legon.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Kwesi_Dickson	http://dbpedia.org/resource/University_of_Ghana
44	Sami Amin Al-Arian (Arabic: سامي أمين العريان‎‎; born January 14, 1958) is a Palestinian-American civil rights activist who was a computer engineering professor at University of South Florida.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Sami_Al-Arian	http://dbpedia.org/resource/University_of_South_Florida
45	After a contentious interview with Bill O'Reilly on the The O'Reilly Factor following the September 11 attacks, Al-Arian's tenure at University of South Florida came under extreme public scrutiny.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Sami_Al-Arian	http://dbpedia.org/resource/University_of_South_Florida
46	Slyusarchuk was employed by the V. Chornovol Lviv State Institute of Modern Technology and Management, the Kyiv National University of Construction and Architecture, the P.L. Shupyk National Medical Academy of Postgraduate Education, the A. P. Romodanov Institute of Neurosurgery and Lviv Polytechnic as a professor, and by the government of Ukraine as an adviser to Oleksandr Turchynov.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Andriy_Slyusarchuk	http://dbpedia.org/resource/Government_of_Ukraine
47	He is Professor of History at Immaculata University in Malvern, Pennsylvania.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/William_E._Watson	http://dbpedia.org/resource/Immaculata_University
48	Catherine Moira Sharkey (born 1970) is a professor of law at the New York University School of Law.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Catherine_Sharkey	http://dbpedia.org/resource/New_York_University_School_of_Law
49	Geoffrey Shawn Fletcher (born October 4, 1970) is an American screenwriter, film director, and adjunct film professor at Columbia University and New York University's Tisch School of the Arts in New York City, New York.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Geoffrey_S._Fletcher	http://dbpedia.org/resource/Tisch_School_of_the_Arts
50	He was also a member of the Rodolfo Freude-led División de Informaciones and in this capacity initiated the cases for resettlement for a number of Nazis.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/René_Lagrou	http://dbpedia.org/resource/División_de_Informaciones
51	Ben Forta is an author and Senior Technical Evangelist for Adobe Systems, particularly ColdFusion and Flex, and the owner of EmTek Systems.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Ben_Forta	http://dbpedia.org/resource/Adobe_Systems
52	Max D. Hopper (November 4, 1934 – January 25, 2010) was an American IT manager, who served as the CIO of Bank of America, the SVP (IS) of American Airlines (AA) and the chairman of the Sabre group.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Max_Hopper	http://dbpedia.org/resource/American_Airlines
53	He produced several award-winning radio and television documentaries for the Australian Broadcasting Corporation and the BBC World Service, usually with a focus on Asia and particularly Japan.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Tony_Barrell_(broadcaster)	http://dbpedia.org/resource/Australian_Broadcasting_Corporation
54	In 1955 she became a programmer and learned coding theory at Bell Labs where she spent most of her career.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Jessie_MacWilliams	http://dbpedia.org/resource/Bell_Labs
55	Emery Bopp (May 13, 1924 – February 1, 2007) was an artist and long-time chairman of the Division of Art, Bob Jones University.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Emery_Bopp	http://dbpedia.org/resource/Bob_Jones_University
56	He is employed by Capcom.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Hiroyuki_Kobayashi_(producer)	http://dbpedia.org/resource/Capcom
57	He found investors for what became the Central Pacific Railroad (CPRR).	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Theodore_Judah	http://dbpedia.org/resource/Central_Pacific_Railroad
58	Brendan Sheerin (born 23 February 1959) is a British International Tour Guide, television personality, pantomime actor and author with 34 years of experience in the travel business, made famous by the reality TV show Coach Trip on Channel 4.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Brendan_Sheerin	http://dbpedia.org/resource/Channel_4
59	He was the chief analyst for Formula One coverage on the BBC from 2009 to 2015 before joining Channel 4 after BBC pulled out in 2016.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Eddie_Jordan	http://dbpedia.org/resource/Channel_4
60	François J. Castaing (born 1945 in Marseille) is a veteran automotive executive with Renault, American Motors, and Chrysler.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/François_Castaing	http://dbpedia.org/resource/Chrysler
61	Geoffrey Shawn Fletcher (born October 4, 1970) is an American screenwriter, film director, and adjunct film professor at Columbia University and New York University's Tisch School of the Arts in New York City, New York.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Geoffrey_S._Fletcher	http://dbpedia.org/resource/Columbia_University
62	He has worked for Amazon Web Services since December 2014 and previously for Google, Sun Microsystems, the Digital Equipment Corporation (DEC) and several start-ups.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Tim_Bray	http://dbpedia.org/resource/Digital_Equipment_Corporation
63	Theodore L. Gunderson (November 7, 1928 – July 31, 2011) was an American Federal Bureau of Investigation Special Agent In Charge and head of the Los Angeles FBI.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Ted_Gunderson	http://dbpedia.org/resource/Federal_Bureau_of_Investigation
64	Dr. John McLoughlin, baptized Jean-Baptiste McLoughlin, (October 19, 1784 – September 3, 1857) was a Chief Factor and Superintendent of the Columbia District of the Hudson's Bay Company at Fort Vancouver from 1824 to 1845.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/John_McLoughlin	http://dbpedia.org/resource/Hudson's_Bay_Company
65	Michel Klyne (2 July 1781 – 1868) was an employee of the North West Company and later the Hudson's Bay Company, serving as postmaster at Jasper House in the Rocky Mountains.	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Michel_Klyne	http://dbpedia.org/resource/Hudson's_Bay_Company
