id	text	property	subject	object
0	Petersen Zagaze is a Zambian Reggae recording artist, record and producer from Lusaka	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Petersen_Zagaze	http://dbpedia.org/resource/Lusaka
1	Amancio is Chief Creative Officer of Lune Rouge and Co-Founder of Reflector Entertainment Ltd., formerly a Creative Director of Assassin's Creed at Ubisoft Montreal	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Alex_Amancio	http://dbpedia.org/resource/Montreal
2	Amancio joined the Ubisoft Montreal	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Alex_Amancio	http://dbpedia.org/resource/Montreal
3	Herbert Bernard Dixon, Sr. (born July 29, 1949), is a Democratic politician from Alexandria, Louisiana	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Herbert_Dixon_(Louisiana_politician)	http://dbpedia.org/resource/Alexandria,_Louisiana
4	Gavin David Free (born 23 May 1988) is an English actor, entertainer, producer, and filmmaker currently living in Austin, Texas	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Gavin_Free	http://dbpedia.org/resource/Austin,_Texas
5	Carter Henry Harrison Jr. (April 23, 1860 – December 25, 1953) was an American politician who served as Mayor of Chicago	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Carter_Harrison_Jr.	http://dbpedia.org/resource/Chicago
6	Carter Henry Harrison Sr. (February 15, 1825 – October 28, 1893) was an American politician who served as mayor of Chicago	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Carter_Harrison_Sr.	http://dbpedia.org/resource/Chicago
7	John Coughlin (August 15, 1860 – November 11, 1938) was an alderman of Chicago	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/John_Coughlin_(alderman)	http://dbpedia.org/resource/Chicago
8	John Coughlin and Hinky Dink Kenna, Powers was considered one of the leaders of the "Gray Wolves" of Chicago	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/John_Powers_(alderman)	http://dbpedia.org/resource/Chicago
9	Huberman served as president of the Chicago Transit Authority	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Ron_Huberman	http://dbpedia.org/resource/Chicago
10	Huberman served as president of the Chicago	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Ron_Huberman	http://dbpedia.org/resource/Chicago
11	Kahl was born in the municipality of Warwerort, in the Dithmarschen district of Germany, a region of the country that includes the city of Hamburg	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Alfred_Kahl	http://dbpedia.org/resource/Hamburg
12	Herring also served as the honorary consul at the Consulate-General of Pakistan based in Houston	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Joanne_Herring	http://dbpedia.org/resource/Houston
13	Herring also served as the honorary consul at the Consulate-General of Pakistan based in Houston	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Joanne_Herring	http://dbpedia.org/resource/Houston
14	Moinuddin Aqeel (Urdu: معین الدین عقیل) (b. 25 June 1946) is an author, critic being a scholar of Urdu literature and [from Pakistan, who served the University of Karachi	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Moinuddin_Aqeel	http://dbpedia.org/resource/Karachi
