number of equals = 1350
number of contains = 605
notInAbstractList = 8272
Appoaches:
	Sbj-Obj = 1564
	Pronoun-Obj = 391
Extraction:
	In Sentence = 1914
	In Paragraph = 41
Blank Sentences = 5
Kind of Match	Section	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Equal	Abstract	In Sentence	Sbj-Obj		cardiologist	http://dbpedia.org/resource/Jacqueline_Noonan	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Cardiologist	Jacqueline Anne Noonan is a pediatric cardiologist	Jacqueline Anne Noonan is a pediatric cardiologist best known for her characterization of a genetic disorder now called Noonan syndrome. She was also the original describer of hypoplastic left heart syndrome.	
Contains	Abstract	In Sentence	Pronoun-Obj		Academy Award for Best Supporting Actress	http://dbpedia.org/resource/Abigail_Breslin	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Actress	(**her=Abigail Breslin**): Her other film roles include Little Miss Sunshine (2006), for which she was nominated for the Academy Award for Best Supporting Actress	Abigail Kathleen Breslin (born April 14, 1996) is an American actress and singer. She appeared in her first commercial when she was three years old, and in her first film, Signs (2002), at the age of five. Her other film roles include Little Miss Sunshine (2006), for which she was nominated for the Academy Award for Best Supporting Actress, No Reservations (2007), Nim's Island (2008), Definitely, Maybe (2008), My Sister's Keeper (2009), Zombieland (2009), Rango (2011), August: Osage County (2013), The Call (2013), Ender's Game (2013), and Perfect Sisters (2014). In September 2015, she began acting in the horror-comedy Scream Queens on Fox, in which she has her first regular role on a television series.	
Equal	Abstract	In Paragraph	Sbj-Obj	X	historian	http://dbpedia.org/resource/Afsaneh_Najmabadi	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Historian		Afsāneh Najmābādi (Persian: افسانه نجم‌آبادی‎‎; born 1946) is an Iranian-American historian and gender theorist. She is professor of History and of Studies of Women, Gender, and Sexuality at Harvard University.	
Equal	Abstract	In Sentence	Sbj-Obj		prostitute	http://dbpedia.org/resource/Ah_Toy	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Prostitute	Ah Toy (Cantonese: 亞彩/阿台 Aa3 Coi2; c. 1828–1928) was a Cantonese-born American prostitute	Ah Toy (Cantonese: 亞彩/阿台 Aa3 Coi2; c. 1828–1928) was a Cantonese-born American prostitute and madam in San Francisco, California, during the California Gold Rush, and purportedly the first Chinese prostitute in San Francisco. Arriving from Hong Kong in 1849, she quickly became the most well known Asian woman in the Old West. She reportedly was a tall, attractive woman with bound feet. When Ah Toy left China for the United States, she originally traveled with her husband, who died during the voyage. Ah Toy became the mistress of the ship's captain, who showered gold upon her, so much so that by the time she arrived in San Francisco, Ah Toy had a fair bit of money. Before 1851 there were only seven Chinese women known to be in the city, and noticing the looks she drew from the men in her new town, she figured they would pay for a closer look. Her peep shows became quite successful, and she was known to charge an ounce of gold (sixteen dollars) for a "lookee". She quickly became the most famous Chinese prostitute, and one of the highest paid and most famous in San Francisco. Ah Toy was a determined and intelligent woman and frequently used the San Francisco court systems to protect herself and her business from exploitation, . Ah Toy proceeded to open a chain of brothels, importing girls from China as young as eleven years old to work in them. By 1854 however, Ah Toy was no longer able to take her grievances to court. In the case People v. Hall, the California Supreme Court reversed the conviction of George Hall, who had murdered a Chinese man, extending a California law that African Americans and Native Americans could not testify in court to include the Chinese. While this law was not directed at prostitutes, it severely handicapped Ah Toy’s ability to protect herself from the domineering Chinese Tongs that had for so long sought to control her and her business. Coupled with the anti-prostitution law of 1854, which was carried out mainly against the Chinese, the pressure to stay successfully in business became too great, and Ah Toy withdrew from San Francisco’s prostitution business. Towards the end of her life she supposedly returned to China a wealthy woman to live the rest of her days in comfort, but returned to California not long afterward. From 1868 until her death in 1928, she lived a quiet life in Santa Clara County, returning to public attention only upon dying on 1 February 1928 three months short of her hundredth birthday in San Jose.	
Equal	Abstract	In Sentence	Sbj-Obj		television	http://dbpedia.org/resource/Angelu_de_Leon	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Television	de Leon-Rivera was (born August 22, 1979), more famously known as Angelu de Leon, is a Filipina television	Maria Luisa Angela Martinez de Leon-Rivera was (born August 22, 1979), more famously known as Angelu de Leon, is a Filipina television & film actress.	
Equal	Abstract	In Sentence	Sbj-Obj		philosopher	http://dbpedia.org/resource/Asa_Kasher	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Philosopher	Asa Kasher (Hebrew: אסא כשר‎‎, born on June 6, 1940) is an Israeli philosopher	Asa Kasher (Hebrew: אסא כשר‎‎, born on June 6, 1940) is an Israeli philosopher and linguist working as a Professor at Tel Aviv University and at Shalem College, Israel.	
Equal	Abstract	In Sentence	Sbj-Obj		comedian	http://dbpedia.org/resource/Cha_Katō	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Comedian	Cha Katō (加藤 茶, かとう ちゃ, カトウ チャ) (born 1 March 1943, Fukushima, Fukushima), also known as Kato-chan, is a male Japanese comedian	Cha Katō (加藤 茶, かとう ちゃ, カトウ チャ) (born 1 March 1943, Fukushima, Fukushima), also known as Kato-chan, is a male Japanese comedian and actor. His real name is Hideyuki Katō (加藤英文). Cha is one of the members of The Drifters and plays drums. His work with Ken Shimura, another Drifter, is well known in Japan.Many in Japan were shocked when it was announced in 2011 that he is married to a woman 45 years younger than him (making her 23 years old).	
Equal	Abstract	In Sentence	Sbj-Obj		actor	http://dbpedia.org/resource/Dan_Resin	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Actor	Dan Resin (February 22, 1931 – July 31, 2010) was an American actor	Dan Resin (February 22, 1931 – July 31, 2010) was an American actor.	
Equal	Abstract	In Sentence	Sbj-Obj		strongman	http://dbpedia.org/resource/Donald_Dinnie	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Strongman	Donald Dinnie (1837–1916) was a Scottish strongman	Donald Dinnie (1837–1916) was a Scottish strongman, born at Balnacraig, Birse, near Aboyne, Aberdeenshire. He has been recognized as "The Nineteenth Century's Greatest Athlete". Dinnie's athletic career spanned over 50 years, and over 11,000 successful competitions.	
Contains	Abstract	In Sentence	Sbj-Obj		Thomas Agar-Robartes, 6th Viscount Clifden	http://dbpedia.org/resource/Francis_Agar-Robartes,_7th_Viscount_Clifden	http://dbpedia.org/ontology/occupation	http://dbpedia.org/resource/Clifden	Agar-Robartes having been killed in the First World War) of Thomas Agar-Robartes, 6th Viscount Clifden	Francis Gerald Agar-Robartes, 7th Viscount Clifden (14 April 1883 – 15 July 1966), was a British Liberal politician. Clifden was the second but eldest surviving son (his elder brother Captain the Hon. Thomas Agar-Robartes having been killed in the First World War) of Thomas Agar-Robartes, 6th Viscount Clifden, and his wife Mary (née Dickenson), and was educated at Eton and Christ Church, Oxford. He succeeded his father in the viscountcy in 1930 and took his seat on the Liberal benches in the House of Lords. From 1940 to 1945 he served as a Lord-in-Waiting (government whip in the House of Lords) in Winston Churchill's coalition government.	
