id	text	property	subject	object
0	A method actor and former student of the HB Studio and the Actors Studio in New York City, where he was taught by Charlie Laughton and Lee Strasberg, Pacino made his feature film debut with a minor role in Me, Natalie (1969) and gained favorable notices for his lead role as a heroin addict in The Panic in Needle Park (1971).	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Al_Pacino	http://dbpedia.org/resource/HB_Studio
1	He was born in Rzeszów, in South-eastern Poland in 1933 and studied acting and directing at the Ludwik Solski Academy of Dramatic Arts in Kraków and Russian Academy of Theatre Arts in Moscow.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Jerzy_Grotowski	http://dbpedia.org/resource/Russian_Academy_of_Theatre_Arts
2	Raised in Connecticut by wealthy, progressive parents, Hepburn began to act while studying at Bryn Mawr College.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Katharine_Hepburn	http://dbpedia.org/resource/Bryn_Mawr_College
3	Smith was born in Edinburgh and educated at George Heriot's School, Edinburgh and the University of Edinburgh, Ordained in 1973, he began his ordained ministry with a Curacy at Ripon College Cuddesdon From here he became successively Director of Training within the Diocese of Wakefield, the Archdeacon of Craven and the Bishop of Tonbridge before his translation to the episcopal see of Edinburgh.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Brian_Smith_(bishop)	http://dbpedia.org/resource/University_of_Edinburgh
4	After graduating from the Bucharest Academy of Economic Studies, he climbed through the Party apparatus.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Ilie_Verdeț	http://dbpedia.org/resource/Bucharest_Academy_of_Economic_Studies
5	Crile graduated from Ohio Northern University in 1885, and in 1887 received his M.D. from Wooster Medical College which merged to form modern day Case Western Reserve University School of Medicine.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/George_Washington_Crile	http://dbpedia.org/resource/Ohio_Northern_University
6	For many years, she was a professor at Tata Institute of Fundamental Research (TIFR), Mumbai.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Raman_Parimala	http://dbpedia.org/resource/Tata_Institute_of_Fundamental_Research
7	Arnold Buffum Chace (November 10, 1845 – February 28, 1932) was a textile businessman, mathematics scholar, and eleventh chancellor of Brown University in Providence, Rhode Island.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Arnold_Buffum_Chace	http://dbpedia.org/resource/Brown_University
8	Millikan graduated from Oberlin College in 1891 and obtained his doctorate at Columbia University in 1895.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Robert_Andrews_Millikan	http://dbpedia.org/resource/Columbia_University
9	The announcement of the prize was made just three days prior to his death; his Columbia University economics department colleague C. Lowell Harriss accepted the posthumous prize on his behalf (there are only three other cases where a Nobel Prize has been presented posthumously).	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/William_Vickrey	http://dbpedia.org/resource/Columbia_University
10	He attended Fryeburg Academy, taught school at Concord and New Milford, New Hampshire; and graduated from Dartmouth College in 1798.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Benjamin_Orr_(Massachusetts_politician)	http://dbpedia.org/resource/Dartmouth_College
11	His résumé formerly also listed an MBA from the unaccredited Fairfax University (at the time licensed in Louisiana), but that degree was removed from his list of qualifications after it aroused controversy in June 2007 In 2011, Littorin was a Visiting Scholar at Stanford University.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Sven_Otto_Littorin	http://dbpedia.org/resource/Lund_University
12	He joined the Department of Electrical Engineering at Massachusetts Institute of Technology (MIT) in 1919, and founded the company now known as Raytheon in 1922.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Vannevar_Bush	http://dbpedia.org/resource/Massachusetts_Institute_of_Technology
