id	text	property	subject	object
0	Bridges was the matriarch of an acting family, which included her late husband, Lloyd Bridges, her sons, Beau Bridges and Jeff Bridges	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Dorothy_Bridges	http://dbpedia.org/resource/Jeff_Bridges
1	Daley is the father of Richard M. Daley	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Richard_J._Daley	http://dbpedia.org/resource/Richard_M._Daley
2	Saltonstall was a great-grandfather of Massachusetts Governor and U.S. Senator Leverett Saltonstall	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Leverett_Saltonstall_I	http://dbpedia.org/resource/Leverett_Saltonstall
3	Kibbee and his daughter was actress Lois Kibbee	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Milton_Kibbee	http://dbpedia.org/resource/Lois_Kibbee
4	Morgenthau was the father of Robert M. Morgenthau	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Henry_Morgenthau_Jr.	http://dbpedia.org/resource/Robert_M._Morgenthau
5	Rajapaksa is a current Member of Parliament and former Deputy Minister of Tourism and son Shyamlal Rajapaksa	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/George_Rajapaksa	http://dbpedia.org/resource/Shyamlal_Rajapaksa
6	Max Weinreich (22 April 1894 in Kuldīga, Russian Empire, now Latvia – 29 January 1969 in New York City, United States) was a linguist, specializing in sociolinguistics and the Yiddish language, and the father of the linguist Uriel Weinreich	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Max_Weinreich	http://dbpedia.org/resource/Uriel_Weinreich
7	Cryer and his first wife, the songwriter Gretchen Cryer, are the parents of the actor Jon Cryer	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/David_Cryer	http://dbpedia.org/resource/Jon_Cryer
8	Arsenault was Premier of Prince Edward Island and his son Joseph-Félix Arsenault	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Joseph-Octave_Arsenault	http://dbpedia.org/resource/Joseph-Félix_Arsenault
9	Kroenke Sports Enterprises, which includes the Denver Nuggets of the NBA, Colorado Avalanche of the NHL, Colorado Rapids of Major League Soccer, Colorado Mammoth of the National Lacrosse League and the Los Angeles Rams of the NFL (the Colorado sports properties are in the name of Josh Kroenke	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Stan_Kroenke	http://dbpedia.org/resource/Josh_Kroenke
10	Knorre's father, Ernst Friedrich Knorre, and his son, Viktor Knorre	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Karl_Friedrich_Knorre	http://dbpedia.org/resource/Viktor_Knorre
11	Vladimir Menshov's daughter Yuliya Menshova	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Vladimir_Menshov	http://dbpedia.org/resource/Yuliya_Menshova
12	Fonda was the patriarch of a family of famous actors, including daughter Jane Fonda, son Peter Fonda	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Henry_Fonda	http://dbpedia.org/resource/Peter_Fonda
13	Piraquive is the mother of the Colombian Senator Alexandra Moreno Piraquive	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/María_Luisa_Piraquive	http://dbpedia.org/resource/Alexandra_Moreno_Piraquive
14	Shankar and mother of Ananda Shankar	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Amala_Shankar	http://dbpedia.org/resource/Ananda_Shankar
15	Leia is the founder and General of the Resistance against the First Order and has a son with Han named Ben, who now goes by the name Kylo Ren	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Princess_Leia	http://dbpedia.org/resource/Kylo_Ren
16	Shankar and mother of Ananda Shankar and Mamata Shankar	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Amala_Shankar	http://dbpedia.org/resource/Mamata_Shankar
17	Burroughs had one child, William S. Burroughs, Jr.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/William_S._Burroughs	http://dbpedia.org/resource/William_S._Burroughs,_Jr.
18	Keke" Geladze (Georgian: ეკატერინე "კეკე" გელაძე; 5 February 1858 – 4 June 1937) was the mother of Joseph Stalin	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Keke_Geladze	http://dbpedia.org/resource/Joseph_Stalin
19	Reiner and the mother of actor/comedian/director/activist Rob Reiner	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Estelle_Reiner	http://dbpedia.org/resource/Rob_Reiner
20	Huston received 15 Oscar nominations, won twice, and directed both his father, Walter Huston, and daughter, Anjelica Huston	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/John_Huston	http://dbpedia.org/resource/Anjelica_Huston
21	Alexander married the widowed Euphemia I, Countess of Ross, but they had no children although he did have a large family by his longtime mistress, Mairead inghean Eachann	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Alexander_Stewart,_Earl_of_Buchan	http://dbpedia.org/resource/Mairead_inghean_Eachann
22	Kenan fathered Mahalalel	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Kenan	http://dbpedia.org/resource/Mahalalel
23	Devdas and Lakshmi had four children, Rajmohan Gandhi, Gopalkrishna Gandhi	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Devdas_Gandhi	http://dbpedia.org/resource/Gopalkrishna_Gandhi
24	Stanton narrowed her political focus almost exclusively to women's rights, she was an active abolitionist with her husband Henry Brewster Stanton	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Elizabeth_Cady_Stanton	http://dbpedia.org/resource/Henry_Brewster_Stanton
25	Park's first-born daughter, Park Geun-hye	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Park_Chung-hee	http://dbpedia.org/resource/Park_Geun-hye
26	Fonda was the patriarch of a family of famous actors, including daughter Jane Fonda	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Henry_Fonda	http://dbpedia.org/resource/Jane_Fonda
27	Autzen's heirs, led by his son Thomas E. Autzen	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Thomas_J._Autzen	http://dbpedia.org/resource/Thomas_E._Autzen
28	list of characters of Monk, an American comedy-drama detective mystery television series, created by Andy Breckman and starring Tony Shalhoub as the titular character, Adrian Monk	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/List_of_Monk_characters	http://dbpedia.org/resource/Adrian_Monk
29	Thurmond died in 2003, his mixed-race, then 78-year-old daughter Essie Mae Washington-Williams	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Strom_Thurmond	http://dbpedia.org/resource/Essie_Mae_Washington-Williams
30	A founding member of Sri Lanka Freedom Party and Cabinet Minister of Agriculture and Land in Wijeyananda Dahanayake's government, he was the father of the former Sri Lankan President Dr Mahinda Rajapaksa	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/D._A._Rajapaksa	http://dbpedia.org/resource/Mahinda_Rajapaksa
31	Daley is the father of Richard M. Daley, also a former mayor of Chicago, William M. Daley	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Richard_J._Daley	http://dbpedia.org/resource/William_M._Daley
32	Devdas and Lakshmi had four children, Rajmohan Gandhi	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Devdas_Gandhi	http://dbpedia.org/resource/Rajmohan_Gandhi
33	Jenkins and journalist Ciaran Jenkins	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Mike_Jenkins_(poet)	http://dbpedia.org/resource/Ciaran_Jenkins
34	Dutt, is also an actor, while daughter Priya Dutt	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Sunil_Dutt	http://dbpedia.org/resource/Priya_Dutt
35	Hero Ibrahim Ahmed (born 1948) is the daughter of Ibrahim Ahmad, the spouse of Jalal Talabani and the mother of Bafil Talabani and Qubad Talabani	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Hero_Ibrahim_Ahmed	http://dbpedia.org/resource/Qubad_Talabani
36	Mary's death, Jim married Angela Williams and adopted her daughter from a previous marriage, Ruth McCartney	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Jim_and_Mary_McCartney	http://dbpedia.org/resource/Ruth_McCartney
37	Aida Maud Boyer McAnn Flemming, CM (1896 – January 25, 1994) was the wife of Hugh John Flemming	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Aida_McAnn_Flemming	http://dbpedia.org/resource/Hugh_John_Flemming
38	Bridges was the matriarch of an acting family, which included her late husband, Lloyd Bridges, her sons, Beau Bridges	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Dorothy_Bridges	http://dbpedia.org/resource/Beau_Bridges
39	Sulzberger relinquished to his son, Arthur Ochs Sulzberger Jr.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Arthur_Ochs_Sulzberger	http://dbpedia.org/resource/Arthur_Ochs_Sulzberger_Jr.
40	Khan, Sohail Khan	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Salim_Khan	http://dbpedia.org/resource/Sohail_Khan
41	Daley is the father of Richard M. Daley, also a former mayor of Chicago, William M. Daley, a former United States Secretary of Commerce, and John P. Daley	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Richard_J._Daley	http://dbpedia.org/resource/John_P._Daley
