number of equals = 1350				
number of contains = 605				
Kind of Match	Subject	Relation	Object	Context
Equal	Jacqueline Noonan	Occupation	Cardiologist	Jacqueline Anne Noonan is a pediatric cardiologist best known for her characterization of a genetic disorder now called Noonan syndrome. She was also the original describer of hypoplastic left heart syndrome.
Contains	Abigail Breslin	Occupation	Actress	Abigail Kathleen Breslin (born April 14, 1996) is an American actress and singer. She appeared in her first commercial when she was three years old, and in her first film, Signs (2002), at the age of five. Her other film roles include Little Miss Sunshine (2006), for which she was nominated for the Academy Award for Best Supporting Actress, No Reservations (2007), Nim's Island (2008), Definitely, Maybe (2008), My Sister's Keeper (2009), Zombieland (2009), Rango (2011), August: Osage County (2013), The Call (2013), Ender's Game (2013), and Perfect Sisters (2014). In September 2015, she began acting in the horror-comedy Scream Queens on Fox, in which she has her first regular role on a television series.
Equal	Afsaneh Najmabadi	Occupation	Historian	Afsāneh Najmābādi (Persian: افسانه نجم‌آبادی‎‎; born 1946) is an Iranian-American historian and gender theorist. She is professor of History and of Studies of Women, Gender, and Sexuality at Harvard University.
Equal	Ah Toy	Occupation	Prostitute	Ah Toy (Cantonese: 亞彩/阿台 Aa3 Coi2; c. 1828–1928) was a Cantonese-born American prostitute and madam in San Francisco, California, during the California Gold Rush, and purportedly the first Chinese prostitute in San Francisco. Arriving from Hong Kong in 1849, she quickly became the most well known Asian woman in the Old West. She reportedly was a tall, attractive woman with bound feet.
Equal	Angelu de Leon	Occupation	Television	Maria Luisa Angela Martinez de Leon-Rivera was (born August 22, 1979), more famously known as Angelu de Leon, is a Filipina television & film actress.
Equal	Asa Kasher	Occupation	Philosopher	Asa Kasher (Hebrew: אסא כשר‎‎, born on June 6, 1940) is an Israeli philosopher and linguist working as a Professor at Tel Aviv University and at Shalem College, Israel.
Equal	Cha Katō	Occupation	Comedian	Cha Katō (加藤 茶, かとう ちゃ, カトウ チャ) (born 1 March 1943, Fukushima, Fukushima), also known as Kato-chan, is a male Japanese comedian and actor. His real name is Hideyuki Katō (加藤英文). Cha is one of the members of The Drifters and plays drums. His work with Ken Shimura, another Drifter, is well known in Japan.Many in Japan were shocked when it was announced in 2011 that he is married to a woman 45 years younger than him (making her 23 years old).
Equal	Dan Resin	Occupation	Actor	Dan Resin (February 22, 1931 – July 31, 2010) was an American actor.
Equal	Donald Dinnie	Occupation	Strongman	Donald Dinnie (1837–1916) was a Scottish strongman, born at Balnacraig, Birse, near Aboyne, Aberdeenshire. He has been recognized as "The Nineteenth Century's Greatest Athlete". Dinnie's athletic career spanned over 50 years, and over 11,000 successful competitions.
Contains	Francis Agar-Robartes, 7th Viscount Clifden	Occupation	Clifden	Clifden was the second but eldest surviving son (his elder brother Captain the Hon. Thomas Agar-Robartes having been killed in the First World War) of Thomas Agar-Robartes, 6th Viscount Clifden, and his wife Mary (née Dickenson), and was educated at Eton and Christ Church, Oxford. He succeeded his father in the viscountcy in 1930 and took his seat on the Liberal benches in the House of Lords. From 1940 to 1945 he served as a Lord-in-Waiting (government whip in the House of Lords) in Winston Churchill's coalition government.
Equal	Kashpir Ganusov	Occupation	Bellmaker	Kashpir Ganusov (Russian: Кашпир Ганусов) was a Russian bellmaker of the 16th century.
Equal	Kathleen Chalfant	Occupation	Actress	Kathleen Chalfant (born January 14, 1945) is an American actress.
Equal	Kevin Burkhardt	Occupation	Sportscaster	Kevin Burkhardt (born March 2, 1974) is an American sportscaster. Currently one of the play-by-play voices for The NFL on FOX and formerly a reporter with SportsNet New York (SNY), Burkhardt was the field reporter during New York Mets telecasts from 2007 to 2014. He also called select Mets games during both spring training and the regular season during that time. He will be the primary studio host for Major League Baseball (MLB) telecasts on FOX and Fox Sports 1 beginning with the 2015 season.
Equal	Lee Deok-hwa	Occupation	Actor	Lee Deok-hwa (born May 8, 1952) is a South Korean actor.
Equal	Peter Alan Rayner	Occupation	Author	Peter Alan Rayner (1924 – 29 July 2007) was a British author of numismatic (coin collecting) books. He was known by his second name Alan, rather than his first to avoid confusion with Peter Seaby, also a popular author, whose family firm Rayner joined at the age of 24.
Contains	Roger Murray-Leach	Occupation	Designer	Roger Murray-Leach (born 25 June 1943) is a British Production Designer, who is probably best known for his work on British television series' Doctor Who and Blake's 7 in the 1970s, although he went on later to work on major feature films.
Equal	Sam Levinson	Occupation	Actor	Samuel "Sam" Levinson (born 1985) is an American actor, screenwriter, and director. He is the son of Diana Rhodes and writer/director/actor Barry Levinson.
Contains	Sima Tan	Occupation	Historian	Sima Tan (traditional Chinese: 司馬談; simplified Chinese: 司马谈; pinyin: Sīmǎ Tán; Wade–Giles: Ssu-ma T'an, c. 165 BC – 110 BC) was an early Chinese historian who worked under the Western Han. He studied astronomy with Tang Du, the I Ching under Yang He, and Daoism under Master Huang. He held the position of Court Astrologer (太史令) between 140-110 BC. While Sima Tan had begun the Records of the Grand Historian (Shiji), he died before it was finished. It was left to his son, Sima Qian, to complete. The year of Sima Tan's death is the year of the great imperial sacrifice fengshan zh:封禅 by Han Wudi, for which the emperor appointed the fangshi, leaving Sima behind and thus probably causing him much frustration.
Equal	Sima Tan	Occupation	Historian	Sima Tan (traditional Chinese: 司馬談; simplified Chinese: 司马谈; pinyin: Sīmǎ Tán; Wade–Giles: Ssu-ma T'an, c. 165 BC – 110 BC) was an early Chinese historian who worked under the Western Han. He studied astronomy with Tang Du, the I Ching under Yang He, and Daoism under Master Huang. He held the position of Court Astrologer (太史令) between 140-110 BC. While Sima Tan had begun the Records of the Grand Historian (Shiji), he died before it was finished. It was left to his son, Sima Qian, to complete. The year of Sima Tan's death is the year of the great imperial sacrifice fengshan zh:封禅 by Han Wudi, for which the emperor appointed the fangshi, leaving Sima behind and thus probably causing him much frustration.
Equal	Trond Kirkvaag	Occupation	Comedian	Trond Georg Kirkvaag (21 June 1946 – 16 November 2007) was a Norwegian comedian, actor, impressionist, screenwriter, author, director and television host. During his 39 years at the Norwegian TV network, NRK, he produced numerous comedy television series. After his death he was widely hailed by his colleagues as possibly the greatest Norwegian TV-comedian in history. He was the son of NRK journalist and television host Rolf Kirkvaag.
Equal	Una McLean	Occupation	Actress	Una McLean MBE (born 1 May 1930 in Strathaven, Scotland) is a British actress and comedian. She is best known for appearing in pantomimes. She was married to Scottish stage and film actor Russell Hunter from 1991 until his death in 2004.
Equal	Waliur Rahman Bhuiyan	Occupation	Businessman	Waliur Rahman Bhuiyan, OBE (born 2 July 1952) is a Bangladeshi businessman.
Equal	Aaron Fa'aoso	Occupation	Television	Aaron Fa'aoso (born circa 1976), an Indigenous Australian of Torres Strait Islander, Samoan and Tongan descent, is a television and film actor, screenwriter, and producer probably best known for his role on East West 101.
Equal	Aaryn Doyle	Occupation	Actress	Aaryn Élan Doyle (born January 4, 1993) is a Canadian actress, voice actor, singer, rapper, songwriter, dancer, and model. She is best known for her role as Lola Scott in the Disney Channel Original Movie Camp Rock. In 2008, Doyle was signed to the Ford Modeling Agency, but is currently represented by IBIS Talent Management. Doyle has represented brand lines such as Diesel and Nike, as seen in Camp Rock red carpet shots. According to media insiders, Doyle is to embark upon a new Marketing endeavour in business as well as in entertainment in 2015 with a full music media campaign in the works in order to take advantage of Doyle's vocal talents and songwriting capabilities.
Equal	Alighiero Noschese	Occupation	Impersonator	Alighiero Noschese (Italian pronunciation: [aliˈɡjɛːro noˈskeːze]; 25 November 1932 – 3 December 1979) was an Italian TV impersonator and actor.
Equal	Amanda Noar	Occupation	Actress	Amanda Noar (born 1962) is an English actress, director and choreographer and is the former wife of actor Neil Morrissey.
Equal	Anni-Kristiina Juuso	Occupation	Actress	Anni-Kristiina Juuso (Northern Sami: Ánne Risten Juuso, born 4 May 1979, Ivalo, Finland) is a Sámi actress, who played the leading female role in the movies The Cuckoo and The Kautokeino Rebellion. She was awarded Russia's Best Actress award by both the movie academy and the press. Juuso has also received a State Movie Award, which was handed to her by Vladimir Putin. In addition to her acting career, Juuso works as a radio journalist for YLE Sámi Radio.
Equal	Beccy Armory	Occupation	Actress	Beccy Armory is a television actress, probably best known for her role as Raffalo in the Doctor Who episode The End of the World.
Equal	Bill Davis (artist)	Occupation	Illustrator	William Robert Davis, aka Bill Davis (born May 1949 in Venice, California) is an American illustrator, animation director and designer, graphic designer and painter. Davis is the founder and creative director of Mother Productions, a graphic design firm which creates animation, motion graphics, logos and other graphic designs for on-air and online purposes.
Equal	Bill Prady	Occupation	Writer	Bill Prady (born June 7, 1960) is a television writer and producer who has worked on American sitcoms and variety programs, including Married... with Children, Dream On, Star Trek: Voyager, Dharma & Greg, and Gilmore Girls and the co-creator of The Big Bang Theory and The Muppets.
Equal	Bob Phillips	Occupation	Journalist	Robert Leon Phillips, known as Bob Phillips (born June 23, 1951), is an American television journalist best known for his long-running program Texas Country Reporter. In 2005, Phillips was inducted into the Silver Circle of the Lone Star Chapter of the National Academy of Television Arts and Sciences, the association that gives the Emmy Awards; the honor is extended to professionals who have spent at least twenty-five years of their career in television in Texas and have made significant contributions to their industry and their communities.
Equal	Chabelo	Occupation	Actor	Xavier López Rodríguez (born February 17, 1935), better known as "Chabelo", is a Mexican actor and a TV host who has been working on television for over sixty years. "Chabelo" has participated in more than thirty motion pictures and recorded more than thirty musical albums. He also has produced many shows like La Cuchufleta and La Güereja Quiere Más. However, his most famous TV show was En Familia con Chabelo, which was broadcast every Sunday morning on Televisa's Canal de las Estrellas. This show consisted of contests with people from the audience, gifts and games and was mainly for children. The program ended on Sunday, December 20, 2015 after 47 years.
Equal	Charles Allom	Occupation	Decorator	Sir Charles Carrick Allom (1865–1947), grandson of architect Thomas Allom and painter Thomas Carrick, was an eminent British decorator, trained as an architect and knighted for his work on Buckingham Palace. Among his American clients in the years preceding World War I was Henry Clay Frick, for whom Allom furnished houses in cooperation with Sir Joseph Duveen, the eminent paintings dealer. Allom furnished the Henry Clay Frick House at 71st Street and Fifth Avenue that today houses the Frick Collection, and the neo-Georgian house, "Clayton", in Roslyn, Long Island, designed by Ogden Codman, Jr., that was bought for Frick's daughter-in-law. For the grand rooms of parade in Frick's New York house, Sir Charles, whose London workshops produced the plasterwork and boiseries, kept the furnishings muted, not to compete with Frick's collection of paintings. In 1925, when William Randolph Hearst purchased a real castle, St. Donat's in Wales, his choice to furnish it naturally fell upon Sir Charles.
Equal	Charles Henry de Soysa	Occupation	Entrepreneur	Sir Charles Henry de Soysa (3 March 1836 – 29 September 1890) was a Ceylonese entrepreneur and philanthropist. He was a pioneering planter, industrialist and was the wealthiest Ceylonese of the 19th century. He was instrumental in the establishment of the first Ceylonese bank, the Moratuwa carpenters guild, the Ceylon Agricultural and National Associations. He is widely considered as the greatest philanthropist of the island for contributions which includes the De Soysa Maternity Hospital, the Prince and Princess of Wales Colleges, St. Matthias Church, the Model Farm Experimental Station and many other institutions and acts of charity. He was the country's first Knight Bachelor (posthumous).
Equal	Chen Sisi	Occupation	Film	Sisi Chen (simplified Chinese: 陈思思; traditional Chinese: 陳思思; pinyin: Chén Sīsī) (December 28, 1938 – October 7, 2007), born as Chen Limei (simplified Chinese: 陈丽梅; traditional Chinese: 陳麗梅; pinyin: Chén Lìméi), was a Chinese film and theater actress.
Equal	Clara Lago	Occupation	Actress	Clara Lago Grau (born 6 March 1990 in Torrelodones, Madrid, Spain) is a Spanish actress.
Equal	Clarence W. Wigington	Occupation	Architect	Clarence Wesley "Cap" Wigington (1883-1967) was an African-American architect who grew up in Omaha, Nebraska. After winning three first prizes in charcoal, pencil, and pen and ink at an art competition during the Trans-Mississippi Exposition in 1899, Wigington went on to become a renowned architect across the Midwestern United States, at a time when African-American architects were few. Wigington was the nation's first black municipal architect, serving 34 years as senior designer for the City of Saint Paul, Minnesota's architectural office when the city had an ambitious building program. Sixty of his buildings still stand in St. Paul, with several recognized on the National Register of Historic Places. Wigington's architectural legacy is one of the most significant bodies of work by an African-American architect.
Equal	Claudia Bermúdez	Occupation	Politician	Claudia Bermúdez (born c 1954) is a Nicaraguan-American politician and entrepreneur. She ran for the United States Congress as a Republican in California's 9th congressional district. She is the first Nicaraguan-American to be the nominee of a major party for a seat in the Congress of the United States.
Equal	Daheli Hall	Occupation	Actress	Dahéli Hall is an American actress, stand-up comedian, writer, and director. Hall is most notable for her membership in the recurring cast of comedians on sketch comedy series MADtv during its 13th season.
Equal	Damaine Radcliff	Occupation	Actor	Damaine Anthony Radcliff (born June 7, 1983), more commonly known as Damaine Radcliff, is an American film actor who was born in The Bronx, New York City. He is possibly most known for his roles in the movies Glory Road, Step Up and his parodies on his YouTube Channel.
Equal	David Speers	Occupation	Journalist	David Speers is an Australian journalist and the political editor at Sky News Australia, as well as host of PM Agenda, The Last Word and Speers Tonight.
Equal	David Warshofsky	Occupation	Actor	David Warshofsky (born February 23, 1961) is an American film/television actor.
Equal	Doreen Keogh	Occupation	Actress	Doreen Keogh (born 5 February 1926 Dublin, Ireland) is an Irish-born actress, of radio, stage, and television most active in the UK, Keogh left school at the age of 15 to train with the Abbey Theatre School, before moving to London.
Equal	Edmund Eysler	Occupation	Composer	Edmund Samuel Eysler (12 March 1874 – 4 October 1949), was an Austrian composer.
Equal	Eduard Tisse	Occupation	Cinematographer	Eduard Kazimirovich Tisse (Russian: Эдуа́рд Казими́рович Тиссэ́, Latvian: Eduards Tisē; 13 April 1897, – 18 November 1961) was a Soviet cinematographer.
Equal	Elias Tcherikower	Occupation	Historian	Elias Tcherikower, Eliahu Tcherikower, Elias Tscherikower, I. M. Cherikover (1881-1943), was a Russian-born Jewish historian of Judaism or the Jewish people.
Equal	Emilio Ruiz del Río	Occupation	Film	Emilio Ruiz del Río (1923 – September 14, 2007) was a Spanish film set decorator and special effects and visual effects artist. Ruiz del Rio's career spanned over 60 years.
Equal	Erik Haaest	Occupation	Journalist	Erik Haaest (14 March 1935 – 23 January 2012) was a controversial Danish journalist and author.
Equal	Farid Raymond-Anthony	Occupation	Writer	Farid Raymond Anthony (born in 1933 in Freetown) is a Sierra Leonean writer, author and poet. He was born in Freetown, Sierra Leone to parents of Lebanese descent. Farid Anthony has written several books, including Stories from Sierra Leone (ISBN 0948193905), and Sawpit Boy.
Equal	Felix Alvarez	Occupation	LGBT	Felix Alvarez OBE (11 October 1951) is a Gibraltarian LGBT, human, civil rights and green activist.
Equal	Franca Valeri	Occupation	Actress	Franca Valeri (born 31 July 1920) is an Italian actress.
Equal	Frances Foster	Occupation	Film	Frances Helen Foster (née Brown; June 11, 1924 – June 17, 1997) was an American film, television and stage actress. In addition to being an actress, Brown was also an award–winning stage director.
Equal	Frank W. Mayborn	Occupation	Publisher	Frank Willis Mayborn (December 7, 1903 - May 16, 1987) was a 20th-century Texas newspaper publisher and philanthropist who played a crucial role in the development of Temple and Bell County, located north of the state capital of Austin.
Equal	Gary Grimes	Occupation	Actor	Gary Grimes (born June 2, 1955, in San Francisco) is a former American actor.
Equal	George Archainbaud	Occupation	Film	George Archainbaud (May 7, 1890 – February 20, 1959) was a French-born American film and television director.
Equal	George Clutesi	Occupation	Artist	George Clutesi, CM (1905 – 27 February 1988), was a Tseshaht artist, actor and writer, as well as an expert on and spokesman for Native Canadian culture.
Equal	George Henry Abbott	Occupation	Surgeon	George Henry Abbott (1867–1942) was an Australian surgeon, President of the New South Wales branch of the British Medical Association, President of the Royal Australian Historical Society and a fellow of the University of Sydney Senate.
Equal	Im Ho	Occupation	Actor	Im Ho (born January 27, 1970) is a South Korean actor, perhaps best known for playing King Jungjong in the television series Dae Jang Geum and Yeon Namsaeng in the TV series Dae Jo Yeong.
Equal	Uzzi Ornan	Occupation	Linguist	Uzzi Ornan (Hebrew: עוזי אורנן‎‎; ISO 259-3: ʕuzzi ʔornan) (born June 7, 1923) is an Israeli linguist and social activist. Ornan is a member of the Academy of the Hebrew Language, professor of natural languages computing at the Technion and professor emeritus at the Hebrew University of Jerusalem. Ornan was a member of the Israeli Canaanite movement, founded by his brother Yonatan Ratosh. He is the founder of the League against religious coercion in Israel and an active supporter of the separation of church and state.
Equal	Drummond Money-Coutts	Occupation	Magician	Drummond William Thomas Money-Coutts (born 11 May 1986), also nicknamed "DMC", is an English magician and specialist card sharp. Money-Coutts is the heir apparent to the Latymer Barony. He is currently aired on National Geographic Channel with several magic tricks & deception to over 175 countries over the world named "Beyond Magic with DMC".
Equal	Alexander Morrison (judge)	Occupation	Judge	Alexander John Henderson Morrison (born 16 November 1927) was a British judge, President of the Mental Health Review Tribunal between 1983 and 1998.
Equal	Cassie Powney	Occupation	Actress	Cassie Powney (born 22 May 1983, in Eastbourne) is an English actress.
Equal	Daniel Reed (actor)	Occupation	Actor	Daniel A. Reed (July 12, 1892 – February 9, 1978) was an American actor, playwright, and screenwriter.
Contains	Darshan Jariwala	Occupation	Film	Darshan Jariwala (Gujarati: દર્શન જરીવાલા) (born 29 September 1958) is a Gujarati film, television and stage actor. He won the National Film Award for Best Supporting Actor for Gandhi, My Father. He was seen as Cheddilal Chaturvedi in the show Saas Bina Sasural which aired on Sony Entertainment Television (India) between 18 October 2010 to 6 September 2012.
Equal	Abdel Salam Al Nabulsy	Occupation	Actor	Abdel Salam Al Nabulsy (Arabic: عبد السلام النابلسي‎‎) was an Egyptian actor of Lebanese - Palestinian origin, born in Tripoli, Lebanon in 1899 and died 1968 in Beirut. He is famous for numerous Egyptian movies in which he co-starred with renowned actors like Ismail Yasin, Abdel Halim Hafez and Faten Hamama.
Equal	Ahmed Subhy Mansour	Occupation	Activist	Ahmed Subhy Mansour (Arabic: أحمد صبحي منصور‎‎; born March 1, 1949) is an Egyptian American activist, whose website describes him as an Islamic scholar with expertise in Islamic history, culture, theology, and politics. He founded the small Egyptian Quranists sect that is neither Sunni nor Shia, was exiled from Egypt, and lives in the United States as a political refugee.
Equal	Fuller Albright	Occupation	Endocrinologist	Fuller Albright (January 12, 1900 – December 8, 1969) was an American endocrinologist who made numerous contributions to his field, especially to the area of calcium metabolism.
Equal	Che Guevara	Occupation	Revolutionary	Ernesto "Che" Guevara (Spanish pronunciation: [ˈtʃe ɣeˈβaɾa]; June 14, 1928 – October 9, 1967), commonly known as El Che or simply Che, was an Argentine Marxist revolutionary, physician, author, guerrilla leader, diplomat, and military theorist. A major figure of the Cuban Revolution, his stylized visage has become a ubiquitous countercultural symbol of rebellion and global insignia in popular culture.
Equal	Dan Hicks (actor)	Occupation	Actor	Dan Hicks (sometimes credited as Danny Hicks) is an American actor. Hicks is best known for starring roles in Evil Dead II, Darkman and Intruder as well as appearing in various other horror films. He is a close friend of Sam Raimi (the director of Evil Dead II) and often has parts in his movies.
Equal	Yitzchok Adlerstein	Occupation	Rabbi	Yitzchok Adlerstein (born 1950 in New York) is an Orthodox rabbi. He is the co-founder and a featured writer on Cross-Currents, an online journal of Orthodox Jewish thought. He is on the editorial board of Klal Perspectives, and online journal of issues facing the Orthodox community.
