id	text	property	subject	object
0	Mukubesa Mundia (born September 28, 1982), better known by his stage name Petersen Zagaze is a Zambian Reggae recording artist, record and producer from Lusaka, Zambia.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Petersen_Zagaze	http://dbpedia.org/resource/Lusaka
1	Herbert Bernard Dixon, Sr. (born July 29, 1949), is a Democratic politician from Alexandria, Louisiana.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Herbert_Dixon_(Louisiana_politician)	http://dbpedia.org/resource/Alexandria,_Louisiana
2	Originally from Thame in Oxfordshire, he is best known for his work at the Austin, Texas-based production company Rooster Teeth – where he formerly served as creative director – featuring in many of their projects, including the Achievement Hunter gaming division; starring in his own YouTube-based web series The Slow Mo Guys, which he created with friend Daniel Gruchy; and co-starring in the animated comedy series X-Ray and Vav alongside Ray Narvaez, Jr..	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Gavin_Free	http://dbpedia.org/resource/Austin,_Texas
3	Gavin David Free (born 23 May 1988) is an English actor, entertainer, producer, and filmmaker currently living in Austin, Texas.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Gavin_Free	http://dbpedia.org/resource/Austin,_Texas
4	Carter Henry Harrison Jr. (April 23, 1860 – December 25, 1953) was an American politician who served as Mayor of Chicago, Illinois (1897–1905 and 1911–1915).	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Carter_Harrison_Jr.	http://dbpedia.org/resource/Chicago
5	Carter Henry Harrison Sr. (February 15, 1825 – October 28, 1893) was an American politician who served as mayor of Chicago, Illinois, from 1879 until 1887; he was subsequently elected to a fifth term in 1893 but was assassinated before completing his term.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Carter_Harrison_Sr.	http://dbpedia.org/resource/Chicago
6	\"Bathhouse\" John Coughlin (August 15, 1860 – November 11, 1938) was an alderman of Chicago's First Ward from 1892 until his death.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/John_Coughlin_(alderman)	http://dbpedia.org/resource/Chicago
7	John Powers (February 15, 1852 in Brannon, Ireland - May 19, 1930) served as an alderman in Chicago, Illinois (1888-1903, 1904–1927) for the Democratic Party.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/John_Powers_(alderman)	http://dbpedia.org/resource/Chicago
8	He is the former chief executive officer and superintendent of Chicago Public Schools (2009-2010), the third-largest school system in the United States.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Ron_Huberman	http://dbpedia.org/resource/Chicago
9	Kahl was born in the municipality of Warwerort, in the Dithmarschen district of Germany, a region of the country that includes the city of Hamburg.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Alfred_Kahl	http://dbpedia.org/resource/Hamburg
10	Herring also served as the honorary consul at the Consulate-General of Pakistan based in Houston; she is also the recipient of the Jinnah Medal, one of Pakistan's highest honors.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Joanne_Herring	http://dbpedia.org/resource/Houston
11	Hailing from Houston, Texas, she is best known for influencing policy through her long association and political relation with the President of Pakistan Zia-ul-Haq (1977–88).	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Joanne_Herring	http://dbpedia.org/resource/Houston
12	Curry first rose to prominence with his portrayal of Dr Frank-N-Furter in the 1975 cult film The Rocky Horror Picture Show, reprising the role he had originated in the 1973 London and 1974 Los Angeles stage productions of The Rocky Horror Show.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Tim_Curry	http://dbpedia.org/resource/Los_Angeles
13	Darren R. Levine (born April 3, 1960 in Los Angeles, California, United States) is a martial artist, an entrepreneur, and a prosecutor for the Los Angeles County District Attorney's office.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Darren_Levine	http://dbpedia.org/resource/Los_Angeles
14	Gary Lee Miller is a professor of Computer Science at Carnegie Mellon University, Pittsburgh, United States.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Gary_Miller_(computer_scientist)	http://dbpedia.org/resource/Pittsburgh
15	An established Bharatanatyam dancer and a graduate in Bsc Information Systems from the University Of New South Wales, Sydney, Raman had also won the titles of \"Miss India Australia\" in 2004 and \"Miss India Worldwide - Beautiful Face\" in 2005.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Vimala_Raman	http://dbpedia.org/resource/Sydney
16	After the war, she retired to the family home on property she had purchased in 1859 in Auburn, New York, where she cared for her aging parents.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Harriet_Tubman	http://dbpedia.org/resource/Auburn,_New_York
17	Robert Daniell of Llanddewi Brefi, Cardigan County, Wales (Born 20 April 1646) arrived in Charleston, South Carolina in 1669 as captain of the ship The Daniell.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Robert_Daniell	http://dbpedia.org/resource/Charleston,_South_Carolina
18	Lionell Spruill, Sr. (born December 28, 1946, in South Norfolk, now Chesapeake, Virginia) is an American politician of the Democratic Party.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Lionell_Spruill	http://dbpedia.org/resource/Chesapeake,_Virginia
19	NO_SENTENCE_SELECTED_:::Mohammed A. Salameh (Arabic: محمد سلامة‎‎) (born September 1, 1967) is a convicted perpetrator of the 1993 World Trade Center bombing. He is currently an inmate at ADX Florence in Florence, Colorado.----0----EndIndex----198 ---- Mention ---Florence, Colorado	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Mohammed_A._Salameh	http://dbpedia.org/resource/Florence,_Colorado
20	Representative Roy represents the 10th Norfolk District, which includes the Town of Franklin, Massachusetts in its entirety and Precincts 2, 3 and 4 of the Town of Medway, Massachusetts.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Jeffrey_Roy	http://dbpedia.org/resource/Franklin,_Massachusetts
21	Akhil started his education at Chaitanya Vidyalaya, before heading to study in Australia for two years and returned to complete his studies at Oakridge International School, Hyderabad.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Akhil_Akkineni	http://dbpedia.org/resource/Hyderabad
22	Having been cleared by the FIA, he has been living in anonymity in Islamabad, authoring books on relationship between Islam and science.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Sultan_Bashiruddin_Mahmood	http://dbpedia.org/resource/Islamabad
23	NO_SENTENCE_SELECTED_:::O'Connell serves on the board of directors for the North Central Electric Cooperative, and is a member of the Knights of Columbus. He lives in Lansford, North Dakota.----396----EndIndex----561 ---- Mention ---Lansford, North Dakota	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/David_O'Connell_(politician)	http://dbpedia.org/resource/Lansford,_North_Dakota
24	George Parker (born 25 April 1996, in Leicester), is a professional squash player who represents England.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/George_Parker_(squash_player)	http://dbpedia.org/resource/Leicester
25	David Day (September 19, 1825 – 1896) was a politician from Minnesota Territory and a former member of the Minnesota Territory House of Representatives, representing Long Prairie, Minnesota.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/David_Day_(Minnesota_politician)	http://dbpedia.org/resource/Long_Prairie,_Minnesota
26	A small business owner from Marion, North Carolina, Gillespie served seven terms in the state House and was re-elected to an eighth term, but resigned to take his position in the executive branch in January 2013.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Mitch_Gillespie	http://dbpedia.org/resource/Marion,_North_Carolina
27	Neal Richard Foster (August 9, 1946 – October 13, 2009) was a Democratic member of the Alaska House of Representatives, representing various districts centered on Nome, Alaska from 1989 until his death.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Richard_Foster_(Alaska_politician)	http://dbpedia.org/resource/Nome,_Alaska
28	Simons was first elected as a member of the National Assembly in 1996, representing the district of Paramaribo.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Jennifer_Simons	http://dbpedia.org/resource/Paramaribo
29	Jennifer \"Jenny\" Simons, married Geerlings (born 5 September 1953 in Paramaribo) is a Surinamese politician.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Jennifer_Simons	http://dbpedia.org/resource/Paramaribo
30	Thomas McKean (March 19, 1734 – June 24, 1817) was an American lawyer and politician from New Castle, in New Castle County, Delaware and Philadelphia.	http://dbpedia.org/ontology/residence	http://dbpedia.org/resource/Thomas_McKean	http://dbpedia.org/resource/Philadelphia
