number of equals = 2057
number of contains = 361
Kind of Match	Subject	Relation	Object	Sentence	Context
Contains	http://dbpedia.org/resource/Stuart_Davies_(engineer)	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Avro	He was also responsible for converting the unsuccessful two-engined **Avro** Manchester into the four-engined **Avro** Lancaster.	Stuart Duncan Davies CBE FEng FRAeS (5 December 1906 – 22 January 1995) was a British aerospace engineer who was in charge of the design of the Avro Vulcan. He was also responsible for converting the unsuccessful two-engined Avro Manchester into the four-engined Avro Lancaster.	
Contains	http://dbpedia.org/resource/Stuart_Davies_(engineer)	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Avro	He was also responsible for converting the unsuccessful two-engined **Avro** Manchester into the four-engined **Avro** Lancaster.	Stuart Duncan Davies CBE FEng FRAeS (5 December 1906 – 22 January 1995) was a British aerospace engineer who was in charge of the design of the Avro Vulcan. He was also responsible for converting the unsuccessful two-engined Avro Manchester into the four-engined Avro Lancaster.	
Contains	http://dbpedia.org/resource/Stuart_Davies_(engineer)	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Avro	He was also responsible for converting the unsuccessful two-engined **Avro** Manchester into the four-engined **Avro** Lancaster.	Stuart Duncan Davies CBE FEng FRAeS (5 December 1906 – 22 January 1995) was a British aerospace engineer who was in charge of the design of the Avro Vulcan. He was also responsible for converting the unsuccessful two-engined Avro Manchester into the four-engined Avro Lancaster.	
Equal	http://dbpedia.org/resource/Craig_B._Fisher	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/CBS	He spent more than 25 years with ABC, **CBS**, and NBC News Division in New York and Washington, D.C. and more than two decades as a freelance writer and producer.	Craig B. Fisher (1932–2006) was an American network and cable television producer. He spent more than 25 years with ABC, CBS, and NBC News Division in New York and Washington, D.C. and more than two decades as a freelance writer and producer. Fisher was responsible for over one thousand hours of live, film and videotape, studio and location television and corporate productions. He was born in 1932 to Col. Dale D. and Francise Fisher, during Col. Fisher’s tour of duty in Manila, the Philippines. Fisher was president of the student government at the University of Maryland, graduating in 1954. As an U.S. Air Force captain, he was a public relations and motion picture officer from 1955 to 1957.	
Equal	http://dbpedia.org/resource/Michael_Elkins	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/CBS	Michael Elkins (born New York, USA, 22 January 1917, died Jerusalem, Israel, 10 March 2001) was an American broadcaster and journalist who worked for the American network, **CBS**, for the magazine Newsweek and then for 17 years with the BBC.	Michael Elkins (born New York, USA, 22 January 1917, died Jerusalem, Israel, 10 March 2001) was an American broadcaster and journalist who worked for the American network, CBS, for the magazine Newsweek and then for 17 years with the BBC. He was the first to report Israel's destruction of Arab air forces on the opening day of the Six-Day War in 1967. CBS did not trust his report and he left.	
Contains	http://dbpedia.org/resource/Jim_Lanzone	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/CBS	Jim Lanzone (born January 20, 1971) is an American businessman and the current president and CEO of **CBS** Interactive, which operates key websites including CNET, **CBS**.com, GameSpot, **CBS** News, Metacritic, **CBS** Sports, Chow, MaxPreps.com	Jim Lanzone (born January 20, 1971) is an American businessman and the current president and CEO of CBS Interactive, which operates key websites including CNET, CBS.com, GameSpot, CBS News, Metacritic, CBS Sports, Chow, MaxPreps.com and TV.com. He took over as President from Neil Ashe in March 2011. Prior to joining CBS Interactive, Lanzone was the CEO of Clicker.com, the complete guide to internet television. Clicker launched in beta at TechCrunch50 on September 14, 2009 and was acquired by CBS in March 2011. He graduated with a bachelor's degree in political science from the University of California, Los Angeles. Lanzone also holds a JD/MBA from Emory University School of Law. In 1997, Lanzone co-founded eTour, an early provider of information retrieval and cost-per-lead services on the Web. By 1998, eTour had become a top 50 website and the Web's #1 ranked site in user frequency (1998 & 1999). Lanzone continued to serve as president of eTour until it was acquired by Ask.com in May 2001. In addition to Ask.com's purchase of eTour, Lanzone was hired to lead product management, marketing and engineering, as senior vice president and general manager of Ask.com. Ask.com was purchased by Barry Diller's IAC in 2005, and shortly afterward, Jim Lanzone was named CEO of Ask.com. He held this position until leaving IAC/Ask.com in 2008 to join Redpoint Ventures as Entrepreneur in Residence. Upon his departure, Barry Diller credited Lanzone as "the principal executive responsible for Ask.com's turnaround". One of Lanzone's primary achievements as CEO was the overhaul and rebranding of AskJeeves (renamed Ask.com). Walt Mossberg praised the new site as being "richer and better organized than typical Google results", and Chris Sherman of Search Engine Land called it the "Apple of Search". In addition to his role at CBS Interactive, Lanzone serves as an advisor at Gigya and Ustream. He is also an investor in such companies as Tasty Labs and Aardvark (Search Engine)|Aardvark.	
Contains	http://dbpedia.org/resource/Jim_Lanzone	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/CBS	Jim Lanzone (born January 20, 1971) is an American businessman and the current president and CEO of **CBS** Interactive, which operates key websites including CNET, **CBS**.com, GameSpot, **CBS** News, Metacritic, **CBS** Sports, Chow, MaxPreps.com	Jim Lanzone (born January 20, 1971) is an American businessman and the current president and CEO of CBS Interactive, which operates key websites including CNET, CBS.com, GameSpot, CBS News, Metacritic, CBS Sports, Chow, MaxPreps.com and TV.com. He took over as President from Neil Ashe in March 2011. Prior to joining CBS Interactive, Lanzone was the CEO of Clicker.com, the complete guide to internet television. Clicker launched in beta at TechCrunch50 on September 14, 2009 and was acquired by CBS in March 2011. He graduated with a bachelor's degree in political science from the University of California, Los Angeles. Lanzone also holds a JD/MBA from Emory University School of Law. In 1997, Lanzone co-founded eTour, an early provider of information retrieval and cost-per-lead services on the Web. By 1998, eTour had become a top 50 website and the Web's #1 ranked site in user frequency (1998 & 1999). Lanzone continued to serve as president of eTour until it was acquired by Ask.com in May 2001. In addition to Ask.com's purchase of eTour, Lanzone was hired to lead product management, marketing and engineering, as senior vice president and general manager of Ask.com. Ask.com was purchased by Barry Diller's IAC in 2005, and shortly afterward, Jim Lanzone was named CEO of Ask.com. He held this position until leaving IAC/Ask.com in 2008 to join Redpoint Ventures as Entrepreneur in Residence. Upon his departure, Barry Diller credited Lanzone as "the principal executive responsible for Ask.com's turnaround". One of Lanzone's primary achievements as CEO was the overhaul and rebranding of AskJeeves (renamed Ask.com). Walt Mossberg praised the new site as being "richer and better organized than typical Google results", and Chris Sherman of Search Engine Land called it the "Apple of Search". In addition to his role at CBS Interactive, Lanzone serves as an advisor at Gigya and Ustream. He is also an investor in such companies as Tasty Labs and Aardvark (Search Engine)|Aardvark.	
Contains	http://dbpedia.org/resource/Jim_Lanzone	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/CBS	Jim Lanzone (born January 20, 1971) is an American businessman and the current president and CEO of **CBS** Interactive, which operates key websites including CNET, **CBS**.com, GameSpot, **CBS** News, Metacritic, **CBS** Sports, Chow, MaxPreps.com	Jim Lanzone (born January 20, 1971) is an American businessman and the current president and CEO of CBS Interactive, which operates key websites including CNET, CBS.com, GameSpot, CBS News, Metacritic, CBS Sports, Chow, MaxPreps.com and TV.com. He took over as President from Neil Ashe in March 2011. Prior to joining CBS Interactive, Lanzone was the CEO of Clicker.com, the complete guide to internet television. Clicker launched in beta at TechCrunch50 on September 14, 2009 and was acquired by CBS in March 2011. He graduated with a bachelor's degree in political science from the University of California, Los Angeles. Lanzone also holds a JD/MBA from Emory University School of Law. In 1997, Lanzone co-founded eTour, an early provider of information retrieval and cost-per-lead services on the Web. By 1998, eTour had become a top 50 website and the Web's #1 ranked site in user frequency (1998 & 1999). Lanzone continued to serve as president of eTour until it was acquired by Ask.com in May 2001. In addition to Ask.com's purchase of eTour, Lanzone was hired to lead product management, marketing and engineering, as senior vice president and general manager of Ask.com. Ask.com was purchased by Barry Diller's IAC in 2005, and shortly afterward, Jim Lanzone was named CEO of Ask.com. He held this position until leaving IAC/Ask.com in 2008 to join Redpoint Ventures as Entrepreneur in Residence. Upon his departure, Barry Diller credited Lanzone as "the principal executive responsible for Ask.com's turnaround". One of Lanzone's primary achievements as CEO was the overhaul and rebranding of AskJeeves (renamed Ask.com). Walt Mossberg praised the new site as being "richer and better organized than typical Google results", and Chris Sherman of Search Engine Land called it the "Apple of Search". In addition to his role at CBS Interactive, Lanzone serves as an advisor at Gigya and Ustream. He is also an investor in such companies as Tasty Labs and Aardvark (Search Engine)|Aardvark.	
Contains	http://dbpedia.org/resource/Gustaf_Wrede	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Valmet	As manager of **Valmet**, Wrede participated in developing of **Valmet** tractors.	Gustaf Woldemar Wrede af Elimä (28 July 1889 – 17 February 1958) was a Finnish Freiherr, engineer and businessman. He is best known for his contribution to Finnish tractor production. Wrede was born to influential Finnish industrialist Wrede family; his father Freiherr Carolus Wrede worked as manager in number of Finnish engineering companies. Due to his background, Wrede got a good education and subsequently a good position in his father's company, in which he designed Kullervo tractor. As manager of Ab Dalsbruk Wrede grew a hardy manager who saved the company from closure and developed the production. During the II World War Wrede led the nickel mining company Petsamon Nikkeli Oy. After the war he led the metal industry production for war reparations to the Soviet Union. As manager of Valmet, Wrede participated in developing of Valmet tractors.	
Equal	http://dbpedia.org/resource/Gustaf_Wrede	http://dbpedia.org/ontology/employer	http://dbpedia.org/resource/Valmet	As manager of **Valmet**, Wrede participated in developing of **Valmet** tractors.	Gustaf Woldemar Wrede af Elimä (28 July 1889 – 17 February 1958) was a Finnish Freiherr, engineer and businessman. He is best known for his contribution to Finnish tractor production. Wrede was born to influential Finnish industrialist Wrede family; his father Freiherr Carolus Wrede worked as manager in number of Finnish engineering companies. Due to his background, Wrede got a good education and subsequently a good position in his father's company, in which he designed Kullervo tractor. As manager of Ab Dalsbruk Wrede grew a hardy manager who saved the company from closure and developed the production. During the II World War Wrede led the nickel mining company Petsamon Nikkeli Oy. After the war he led the metal industry production for war reparations to the Soviet Union. As manager of Valmet, Wrede participated in developing of Valmet tractors.	
