number of equals = 1612
number of contains = 51
notInAbstractList = 8396
Appoaches:
	Sbj-Obj = 855
	Pronoun-Obj = 808
Extraction:
	In Sentence = 1562
	In Paragraph = 101
Blank Sentences = 0
Kind of Match	Section	Extraction	Approach	Blank Sentence	NIF-Anchor	Subject	Relation	Object	Sentence	Context
Equal	Abstract	In Paragraph	Sbj-Obj		HB Studio	http://dbpedia.org/resource/Al_Pacino	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/HB_Studio	Al" Pacino (/pəˈtʃiːnoʊ/; born April 25, 1940) is an American actor of stage and screen, filmmaker, and screenwriter. Pacino has had a career spanning more than fifty years, during which time he has received numerous accolades and honors both competitive and honorary, among them an Academy Award, two Tony Awards, two Primetime Emmy Awards, a British Academy Film Award, four Golden Globe Awards, the Lifetime Achievement Award from the American Film Institute, the Golden Globe Cecil B. DeMille Award, and the National Medal of Arts. He is also one of few performers to have won a competitive Oscar, an Emmy and a Tony Award for acting, dubbed the "Triple Crown of Acting". A method actor and former student of the HB Studio	Alfredo James "Al" Pacino (/pəˈtʃiːnoʊ/; born April 25, 1940) is an American actor of stage and screen, filmmaker, and screenwriter. Pacino has had a career spanning more than fifty years, during which time he has received numerous accolades and honors both competitive and honorary, among them an Academy Award, two Tony Awards, two Primetime Emmy Awards, a British Academy Film Award, four Golden Globe Awards, the Lifetime Achievement Award from the American Film Institute, the Golden Globe Cecil B. DeMille Award, and the National Medal of Arts. He is also one of few performers to have won a competitive Oscar, an Emmy and a Tony Award for acting, dubbed the "Triple Crown of Acting". A method actor and former student of the HB Studio and the Actors Studio in New York City, where he was taught by Charlie Laughton and Lee Strasberg, Pacino made his feature film debut with a minor role in Me, Natalie (1969) and gained favorable notices for his lead role as a heroin addict in The Panic in Needle Park (1971). He achieved international acclaim and recognition for his breakthrough role as Michael Corleone in Francis Ford Coppola's The Godfather (1972). He received his first Oscar nomination and would reprise the role in the equally successful sequels The Godfather Part II (1974) and The Godfather Part III (1990). Pacino's performance as Corleone is now regarded as one of the greatest screen performances in film history. Pacino received his first Best Actor Oscar nomination for Serpico (1973); he was also nominated for The Godfather Part II, Dog Day Afternoon (1975) and ...And Justice for All (1979) and won the award in 1993 for his performance as a blind Lieutenant Colonel in Scent of a Woman (1992). For his performances in The Godfather, Dick Tracy (1990) and Glengarry Glen Ross (1992), Pacino was nominated for the Academy Award for Best Supporting Actor. Other notable roles include Tony Montana in Scarface (1983), Carlito Brigante in Carlito's Way (1993), Lieutenant Vincent Hanna in Heat (1995), Benjamin Ruggiero in Donnie Brasco (1997), Lowell Bergman in The Insider (1999) and Detective Will Dormer in Insomnia (2002). In television, Pacino has acted in several productions for HBO including the miniseries Angels in America (2003) and the Jack Kevorkian biopic You Don't Know Jack (2010), both of which won him the Primetime Emmy Award for Outstanding Lead Actor in a Miniseries or a Movie. In addition to his work in film, Pacino has had an extensive career on stage and is a two-time Tony Award winner, in 1969 and 1977, for his performances in Does a Tiger Wear a Necktie? and The Basic Training of Pavlo Hummel respectively. A lifelong fan of Shakespeare, Pacino directed and starred in Looking for Richard (1996), a documentary film about the play Richard III, a role which Pacino had earlier portrayed on-stage in 1977. He has also acted as Shylock in a 2004 feature film adaptation and a 2010 production of The Merchant of Venice. Having made his filmmaking debut with Looking for Richard, Pacino has also directed and starred in the independent film Chinese Coffee (2000) and the films Wilde Salomé (2011) and Salomé (2013), about the play Salomé by Oscar Wilde. Since 1994, Pacino has been the joint president of the Actors Studio with Ellen Burstyn and Harvey Keitel.	
Equal	Abstract	In Sentence	Pronoun-Obj		Russian Academy of Theatre Arts	http://dbpedia.org/resource/Jerzy_Grotowski	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Russian_Academy_of_Theatre_Arts	(**he=Jerzy Grotowski**): He was born in Rzeszów, in South-eastern Poland in 1933 and studied acting and directing at the Ludwik Solski Academy of Dramatic Arts in Kraków and Russian Academy of Theatre Arts	Jerzy Marian Grotowski (Polish pronunciation: ['jɛʐɨ grɔ'tɔfskʲi]; 11 August 1933 – 14 January 1999) was a Polish innovative theatre director and theorist whose approaches to acting, training and theatrical production have significantly influenced theatre today. He was born in Rzeszów, in South-eastern Poland in 1933 and studied acting and directing at the Ludwik Solski Academy of Dramatic Arts in Kraków and Russian Academy of Theatre Arts in Moscow. He debuted as a director in 1959 in Kraków with Eugène Ionesco's play Chairs and shortly afterwards founded a small Laboratory Theatre in 1959 in the town of Opole in Poland. During the 1960s, the company began to tour internationally and his work attracted increasing interest. As his work gained wider acclaim and recognition, Grotowski was invited to work in the United States and he left Poland in 1982. Although the company he founded in Poland closed a few years later in 1984, he continued to teach and direct productions in Europe and America. However, Grotowski became increasingly uncomfortable with the adoption and adaptation of his ideas and practices, particularly in the US. So, at what seemed to be the height of his public profile, he left America and moved to Italy where he established the Grotowski Workcenter in 1985 in Pontedera, near Pisa. At this centre he continued his theatre experimentation and practice and it was here that he continued to direct training and private theatrical events almost in secret for the last twenty years of his life. Suffering from leukemia and a heart condition, he died in 1999 at his home in Pontedera.	
Equal	Abstract	In Sentence	Sbj-Obj		Bryn Mawr College	http://dbpedia.org/resource/Katharine_Hepburn	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Bryn_Mawr_College	Hepburn began to act while studying at Bryn Mawr College	Katharine Houghton Hepburn (May 12, 1907 – June 29, 2003) was an American actress. Known for her fierce independence and spirited personality, Hepburn was a leading lady in Hollywood for more than 60 years. She appeared in a range of genres, from screwball comedy to literary drama, and she received four Academy Awards for Best Actress—a record for any performer. In 1999, Hepburn was named by the American Film Institute as the greatest female star of Classic Hollywood Cinema. Raised in Connecticut by wealthy, progressive parents, Hepburn began to act while studying at Bryn Mawr College. After four years in the theatre, favorable reviews of her work on Broadway brought her to the attention of Hollywood. Her early years in the film industry were marked with success, including an Academy Award for her third picture, Morning Glory (1933), but this was followed by a series of commercial failures which led her to be labeled "box office poison" in 1938. Hepburn masterminded her own comeback, buying out her contract with RKO Radio Pictures and acquiring the film rights to The Philadelphia Story, which she sold on the condition that she be the star. In the 1940s, she was contracted to Metro-Goldwyn-Mayer, where her career focused on an alliance with Spencer Tracy. The screen-partnership spanned 25 years and produced nine movies. Hepburn challenged herself in the latter half of her life, as she regularly appeared in Shakespearean stage productions and tackled a range of literary roles. She found a niche playing middle-aged spinsters, such as in The African Queen (1951), a persona the public embraced. Three more Oscars came for her work in Guess Who's Coming to Dinner (1967), The Lion in Winter (1968), and On Golden Pond (1981). In the 1970s, she began appearing in television films, which became the focus of her career in later life. She remained active into old age, making her final screen appearance in 1994 at the age of 87. After a period of inactivity and ill health, Hepburn died in 2003 at the age of 96. Hepburn famously shunned the Hollywood publicity machine and refused to conform to society's expectations of women. She was outspoken, assertive, athletic, and wore trousers before it was fashionable for women to do so. She married once, as a young woman, but thereafter lived independently. A 26-year affair with her co-star Spencer Tracy was hidden from the public. With her unconventional lifestyle and the independent characters she brought to the screen, Hepburn epitomized the "modern woman" in the 20th-century United States and is remembered as an important cultural figure.	
Equal	Abstract	In Sentence	Sbj-Obj		University of Edinburgh	http://dbpedia.org/resource/Brian_Smith_(bishop)	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/University_of_Edinburgh	Smith was born in Edinburgh and educated at George Heriot's School, Edinburgh and the University of Edinburgh	Brian Arthur Smith (born 15 August 1943) was the Bishop of Edinburgh in the Scottish Episcopal Church. Smith was born in Edinburgh and educated at George Heriot's School, Edinburgh and the University of Edinburgh, Ordained in 1973, he began his ordained ministry with a Curacy at Ripon College Cuddesdon From here he became successively Director of Training within the Diocese of Wakefield, the Archdeacon of Craven and the Bishop of Tonbridge before his translation to the episcopal see of Edinburgh. A keen snorkeller and short-wave radio enthusiast, he is married with two daughters. He retired as Bishop of Edinburgh on Monday, 15 August 2011.	
Equal	Abstract	In Paragraph	Sbj-Obj		Bucharest Academy of Economic Studies	http://dbpedia.org/resource/Ilie_Verdeț	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Bucharest_Academy_of_Economic_Studies	Ilie Verdeț (10 May 1925 – 20 March 2001) was a Romanian politician. Born in Comănești, Bacău County, and a miner from age 12, he joined the Romanian Communist Party (PCR) in 1945. After graduating from the Bucharest Academy of Economic Studies	Ilie Verdeț (10 May 1925 – 20 March 2001) was a Romanian politician. Born in Comănești, Bacău County, and a miner from age 12, he joined the Romanian Communist Party (PCR) in 1945. After graduating from the Bucharest Academy of Economic Studies, he climbed through the Party apparatus. By the early 1960s he was working in the central office of the PCR in Bucharest, as deputy of Nicolae Ceauşescu, who was in charge of party organization and appointments. After the death of Gheorghe Gheorghiu-Dej in March 1965, Verdeț helped Ceaușescu gain the post of Secretary General of the PCR. Soon afterwards, Verdeț was promoted to the Permanent Bureau of the Political Executive Committee of the PCR. He held many political posts, including those of Deputy Prime Minister (1966-1974) and Prime Minister of Romania (1979-1982). He was sent by Ceaușescu to solve the Jiu Valley miners' strike of 1977, but was unable to negotiate and was held hostage for two days (a notion he later denied). After the fall of Ceaușescu in December 1989, Verdeţ declared himself the head of a provisional government, but it only lasted for about 20 minutes, after which he was pushed aside by Ion Iliescu, who emerged as the leader of the National Salvation Front. Verdeț founded in 1990 a party named Partidul Socialist al Muncii (Socialist Party of Labour), which narrowly entered Parliament in the 1992 elections , but in subsequent elections failed to win any seats. He stayed on as party chief until the 2000 elections, after which he was removed from his post. Verdeț and his wife Reghina, were married in 1947. They had two daughters: Doina (b. 1948) and Cezarina (b. 1953). He died of a heart attack in 2001 in Bucharest at the age of 75.	
Equal	Abstract	In Sentence	Pronoun-Obj		Tata Institute of Fundamental Research	http://dbpedia.org/resource/Raman_Parimala	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Tata_Institute_of_Fundamental_Research	(**she=Raman Parimala**): she was a professor at Tata Institute of Fundamental Research	Raman Parimala (born 21 November 1948) is an Indian mathematician known for her contributions to algebra. She is the Arts & Sciences Distinguished Professor of mathematics at Emory University. For many years, she was a professor at Tata Institute of Fundamental Research (TIFR), Mumbai.	
Equal	Abstract	In Sentence	Sbj-Obj		Columbia University	http://dbpedia.org/resource/Robert_Andrews_Millikan	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Columbia_University	Millikan graduated from Oberlin College in 1891 and obtained his doctorate at Columbia University	Robert A. Millikan (March 22, 1868 – December 19, 1953) was an American experimental physicist honored with the Nobel Prize for Physics in 1923 for his measurement of the elementary electronic charge and for his work on the photoelectric effect. Millikan graduated from Oberlin College in 1891 and obtained his doctorate at Columbia University in 1895. In 1896 he became an assistant at the University of Chicago, where he became a full professor in 1910. In 1909 Millikan began a series of experiments to determine the electric charge carried by a single electron. He began by measuring the course of charged water droplets in an electric field. The results suggested that the charge on the droplets is a multiple of the elementary electric charge, but the experiment was not accurate enough to be convincing. He obtained more precise results in 1910 with his famous oil-drop experiment in which he replaced water (which tended to evaporate too quickly) with oil. In 1914 Millikan took up with similar skill the experimental verification of the equation introduced by Albert Einstein in 1905 to describe the photoelectric effect. He used this same research to obtain an accurate value of Planck’s constant. In 1921 Millikan left the University of Chicago to become director of the Norman Bridge Laboratory of Physics at the California Institute of Technology (Caltech) in Pasadena, California. There he undertook a major study of the radiation that the physicist Victor Hess had detected coming from outer space. Millikan proved that this radiation is indeed of extraterrestrial origin, and he named it "cosmic rays." As chairman of the Executive Council of Caltech (the school's governing body at the time) from 1921 until his retirement in 1945, Millikan helped to turn the school into one of the leading research institutions in the United States. He also served on the board of trustees for Science Service, now known as Society for Science & the Public, from 1921 to 1953.	
Equal	Abstract	In Sentence	Pronoun-Obj		Columbia University	http://dbpedia.org/resource/William_Vickrey	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Columbia_University	(**his=William Vickrey**): his death; his Columbia University	William Spencer Vickrey (21 June 1914 – 11 October 1996) was a Canadian-born professor of economics and Nobel Laureate. Vickrey was awarded the 1996 Nobel Memorial Prize in Economic Sciences with James Mirrlees for their research into the economic theory of incentives under asymmetric information, becoming the only Nobel laureate born in British Columbia. The announcement of the prize was made just three days prior to his death; his Columbia University economics department colleague C. Lowell Harriss accepted the posthumous prize on his behalf (there are only three other cases where a Nobel Prize has been presented posthumously).	
Equal	Abstract	In Sentence	Pronoun-Obj		Dartmouth College	http://dbpedia.org/resource/Benjamin_Orr_(Massachusetts_politician)	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Dartmouth_College	(**he=Benjamin Orr (Massachusetts politician)**): He attended Fryeburg Academy, taught school at Concord and New Milford, New Hampshire; and graduated from Dartmouth College	Benjamin Orr (December 1, 1772 – September 3, 1828) was a member of the United States House of Representatives from Massachusetts. Orr was born in Bedford, New Hampshire, on December 1, 1772. He was self-educated and apprenticed as a carpenter. He attended Fryeburg Academy, taught school at Concord and New Milford, New Hampshire; and graduated from Dartmouth College in 1798. He studied law, was admitted to the bar in 1801 and commenced the practice of law in Brunswick, Maine (then a part of Massachusetts). Orr moved to Topsham, Maine, in 1801 and continued the practice of law; was overseer of Bowdoin College, Brunswick, Maine, and served as trustee from 1814 to 1828 and as treasurer in 1815 and 1816. Orr was elected as a Federalist to the Fifteenth Congress (March 4, 1817 – March 3, 1819) but was not a candidate for renomination in 1818. He resumed the practice of law in Topsham and, in 1822, returned to Brunswick to continue the practice of law. He died in Brunswick, on September 3, 1828, and he was interred in Pine Grove Cemetery.	
Equal	Abstract	In Sentence	Pronoun-Obj		Lund University	http://dbpedia.org/resource/Sven_Otto_Littorin	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Lund_University	(**he=Sven Otto Littorin**): He has a B.Sc. in Economics and Business Administration at Lund University	He was born and grew up in Östergötland, where he was active in the Moderate Youth League from an early stage. He was national chairman of the Moderate School Youth, a part of the youth league, 1984-1985. He has a B.Sc. in Economics and Business Administration at Lund University. His résumé formerly also listed an MBA from the unaccredited Fairfax University (at the time licensed in Louisiana), but that degree was removed from his list of qualifications after it aroused controversy in June 2007 In 2011, Littorin was a Visiting Scholar at Stanford University. Since 2011 he has been a Political Affairs Consultant, based in London, England. Between 1991 and 1993 he was chief of staff to Minister for Fiscal and Financial Affairs, Bo Lundgren, later leader of the Moderate Party. After that he worked in the private sphere for, inter alia, Kreab. In 1997 he co-founded Momentor AB, a venture capital company, and worked as a Senior Partner until 2002. In 2002 he was appointed party secretary by Bo Lundgren and later became a part of Fredrik Reinfeldt's team. He has played an integral part in the subsequent modernisation of the party. After the success of the Moderate Party in the 2006 general election he resigned as Secretary General and was later named Minister for Employment in the cabinet presented by Prime Minister Reinfeldt on 6 October 2006. Until 31 December 2006 this ministerial post was located within the Ministry of Enterprise, after which a separate Ministry of Employment. On 7 July 2010 he announced his immediate resignation, citing personal circumstances.	
