id	text	property	subject	object
0	the title "the first gentleman of England", but his poor relationship with both his father and his wife, Caroline of Brunswick	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/George_IV_of_the_United_Kingdom	http://dbpedia.org/resource/Caroline_of_Brunswick
1	Lombard married "the King of Hollywood", Clark Gable	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Carole_Lombard	http://dbpedia.org/resource/Clark_Gable
2	Burton remains closely associated in the public consciousness with his second wife, actress Elizabeth Taylor	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Richard_Burton	http://dbpedia.org/resource/Elizabeth_Taylor
3	of Elizabeth Woodville	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/John_Grey_of_Groby	http://dbpedia.org/resource/Elizabeth_Woodville
4	Leigh was strongly identified with her second husband Laurence Olivier	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Vivien_Leigh	http://dbpedia.org/resource/Laurence_Olivier
5	of France's middle and lower classes resulted in strengthened opposition to the French aristocracy and to the absolute monarchy, of which Louis and his wife, queen Marie Antoinette	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Louis_XVI_of_France	http://dbpedia.org/resource/Marie_Antoinette
6	I Alekseyevna, born Polish: Marta Helena Skowrońska, later known as Marta Samuilovna Skavronskaya; 15 April [O.S. 5 April] 1684 – 17 May [O.S. 6 May] 1727) was the second wife of Peter the Great	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Catherine_I_of_Russia	http://dbpedia.org/resource/Peter_the_Great
7	Taylor and co-star Richard Burton	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Elizabeth_Taylor	http://dbpedia.org/resource/Richard_Burton
8	Hughes was married to American poet Sylvia Plath	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Ted_Hughes	http://dbpedia.org/resource/Sylvia_Plath
9	Paltrow married Chris Martin	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Gwyneth_Paltrow	http://dbpedia.org/resource/Chris_Martin
10	Dunnett married Dorothy Halliday on 17 September 1946; as Dorothy Dunnett	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Alastair_Dunnett	http://dbpedia.org/resource/Dorothy_Dunnett
11	Bates, that she was a few inches taller than her husband Martin Van Buren Bates	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Anna_Haining_Bates	http://dbpedia.org/resource/Martin_Van_Buren_Bates
12	Dorothea of Brandenburg (1430/1431 – 10 November 1495) was Queen consort of Denmark (1445–1448 and 1449–1481), Norway (1445–1448 and 1450–1481), and Sweden (1447–1448 and 1457–1464) two times each by marriage to Christopher of Bavaria and Christian I of Denmark	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Dorothea_of_Brandenburg	http://dbpedia.org/resource/Christian_I_of_Denmark
13	Maria Anna of Spain (18 August 1606 – 13 May 1646), Infanta of Spain, the youngest daughter of King Philip III of Spain and Margaret of Austria, was Holy Roman Empress and Queen of Hungary and Bohemia as the wife of Ferdinand III, Holy Roman Emperor	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Maria_Anna_of_Spain	http://dbpedia.org/resource/Ferdinand_III,_Holy_Roman_Emperor
14	Maria Theresa and her husband, Francis I, Holy Roman Emperor	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Maria_Theresa	http://dbpedia.org/resource/Francis_I,_Holy_Roman_Emperor
15	Leopold moved to the United Kingdom where he married Princess Charlotte of Wales	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Leopold_I_of_Belgium	http://dbpedia.org/resource/Princess_Charlotte_of_Wales
16	Amala Shankar acted in the film Kalpana directed by Uday Shankar	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Amala_Shankar	http://dbpedia.org/resource/Uday_Shankar
17	Kelly has written, produced, and remixed songs and albums for many artists, including Aaliyah	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/R._Kelly	http://dbpedia.org/resource/Aaliyah
18	Rani Padmavati (born 280 BCE) was a wife of the Mauryan Emperor Ashoka	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Rani_Padmavati	http://dbpedia.org/resource/Ashoka
19	Ford is married to actress Calista Flockhart	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Harrison_Ford	http://dbpedia.org/resource/Calista_Flockhart
20	Soong Mei-ling or Soong May-ling (Chinese: 宋美齡; pinyin: Sòng Měilíng; March 5, 1897 – October 23, 2003), also known as Madame Chiang Kai-shek	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Soong_Mei-ling	http://dbpedia.org/resource/Chiang_Kai-shek
21	of King Louis VI of France, hence his nickname, and married Eleanor of Aquitaine	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Louis_VII_of_France	http://dbpedia.org/resource/Eleanor_of_Aquitaine
22	Kennedy family, sister of President John F. Kennedy and Senators Robert F. Kennedy and Ted Kennedy; her husband, Sargent Shriver	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Eunice_Kennedy_Shriver	http://dbpedia.org/resource/Sargent_Shriver
23	Kanai was married to fellow voice actor Kōichi Yamadera	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Mika_Kanai	http://dbpedia.org/resource/Kōichi_Yamadera
24	Winnie could be seen almost daily visiting her former husband Nelson Mandela	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Winnie_Madikizela-Mandela	http://dbpedia.org/resource/Nelson_Mandela
25	Alexander married the widowed Euphemia I, Countess of Ross	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Alexander_Stewart,_Earl_of_Buchan	http://dbpedia.org/resource/Euphemia_I,_Countess_of_Ross
26	Burroughs accidentally killed his second wife, Joan Vollmer	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/William_S._Burroughs	http://dbpedia.org/resource/Joan_Vollmer
27	Stanton narrowed her political focus almost exclusively to women's rights, she was an active abolitionist with her husband Henry Brewster Stanton	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Elizabeth_Cady_Stanton	http://dbpedia.org/resource/Henry_Brewster_Stanton
28	Dorothy Percy, Countess of Northumberland (formerly Perrot, née Devereux; c. 1564 – 3 August 1619) was the younger daughter of Walter Devereux, 1st Earl of Essex by Lettice Knollys, and the wife of Henry Percy, 9th Earl of Northumberland	http://dbpedia.org/ontology/spouse	http://dbpedia.org/resource/Dorothy_Percy,_Countess_of_Northumberland	http://dbpedia.org/resource/Henry_Percy,_9th_Earl_of_Northumberland
