id	text	property	subject	object
0	Raised in Connecticut by wealthy, progressive parents, Hepburn began to act while studying at Bryn Mawr College.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Katharine_Hepburn	http://dbpedia.org/resource/Bryn_Mawr_College
1	Smith was born in Edinburgh and educated at George Heriot's School, Edinburgh and the University of Edinburgh, Ordained in 1973, he began his ordained ministry with a Curacy at Ripon College Cuddesdon From here he became successively Director of Training within the Diocese of Wakefield, the Archdeacon of Craven and the Bishop of Tonbridge before his translation to the episcopal see of Edinburgh.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Brian_Smith_(bishop)	http://dbpedia.org/resource/University_of_Edinburgh
2	Crile graduated from Ohio Northern University in 1885, and in 1887 received his M.D. from Wooster Medical College which merged to form modern day Case Western Reserve University School of Medicine.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/George_Washington_Crile	http://dbpedia.org/resource/Ohio_Northern_University
3	Arnold Buffum Chace (November 10, 1845 – February 28, 1932) was a textile businessman, mathematics scholar, and eleventh chancellor of Brown University in Providence, Rhode Island.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Arnold_Buffum_Chace	http://dbpedia.org/resource/Brown_University
4	Millikan graduated from Oberlin College in 1891 and obtained his doctorate at Columbia University in 1895.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Robert_Andrews_Millikan	http://dbpedia.org/resource/Columbia_University
5	Millikan graduated from Oberlin College in 1891 and obtained his doctorate at Columbia University in 1895.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Robert_Andrews_Millikan	http://dbpedia.org/resource/Oberlin_College
6	The Arrhenius equation, Arrhenius definition of an acid, lunar crater Arrhenius, the mountain of Arrheniusfjellet and the Arrhenius Labs at Stockholm University are named after him.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Svante_Arrhenius	http://dbpedia.org/resource/Stockholm_University
7	Rodolfo Campo Soto (born August 15, 1942) is a Colombian politician and Mechanical engineer from the Pontifical Bolivarian University.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Rodolfo_Campo_Soto	http://dbpedia.org/resource/Pontifical_Bolivarian_University
8	Bloomberg also served as Chairman of the Board of Trustees at his alma mater, Johns Hopkins University, from 1996 to 2002.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Michael_Bloomberg	http://dbpedia.org/resource/Johns_Hopkins_University
9	Agnew was born in Baltimore, Maryland, and was a graduate of Johns Hopkins University and University of Baltimore School of Law.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Spiro_Agnew	http://dbpedia.org/resource/Johns_Hopkins_University
10	Morgan received his Ph.D. from Johns Hopkins University in zoology in 1890 and researched embryology during his tenure at Bryn Mawr.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Thomas_Hunt_Morgan	http://dbpedia.org/resource/Johns_Hopkins_University
11	Rabon has degrees from North Carolina State University and the University of Georgia.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Bill_Rabon	http://dbpedia.org/resource/North_Carolina_State_University
12	Weller was born and grew up in Ann Arbor, Michigan, and then went to the University of Michigan, where his father Carl Vernon Weller was a professor in the Department of Pathology.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Thomas_Huckle_Weller	http://dbpedia.org/resource/University_of_Michigan
13	Raman Sundrum did his undergraduate studies at University of Sydney in Australia and received his Ph.D. from Yale University in 1990.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Raman_Sundrum	http://dbpedia.org/resource/University_of_Sydney
14	Aitchison was appointed as senior lecturer in Communications Engineering at the University of Sydney, which was the start of his 25-year teaching experience at that institution, culminating in his appointment as associate professor.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Ronald_Ernest_Aitchison	http://dbpedia.org/resource/University_of_Sydney
15	A native of Midland, Wohlgemuth attended Texas Tech University in Lubbock from 1965 to 1967 but left to marry her childhood sweetheart, Mikeal Wohlgemuth, an optometrist in Burleson.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Arlene_Wohlgemuth	http://dbpedia.org/resource/Texas_Tech_University
16	Rabon has degrees from North Carolina State University and the University of Georgia.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Bill_Rabon	http://dbpedia.org/resource/University_of_Georgia
17	Case grew up in Olathe, Kansas and later attended University of Kansas.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Stevie_Case	http://dbpedia.org/resource/University_of_Kansas
18	Born in Wallace, South Dakota in 1911, Humphrey attended the University of Minnesota before earning his pharmacist license from the Capitol College of Pharmacy in 1931.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Hubert_Humphrey	http://dbpedia.org/resource/University_of_Minnesota
19	Born in Denver, Colorado, Trauger received a B.A. from Cornell College in 1968, a Master of Arts in Teaching from Vanderbilt University in 1972, and a J.D. from Vanderbilt University Law School in 1976.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Aleta_Arthur_Trauger	http://dbpedia.org/resource/Vanderbilt_University
20	Born in Denver, Colorado, Trauger received a B.A. from Cornell College in 1968, a Master of Arts in Teaching from Vanderbilt University in 1972, and a J.D. from Vanderbilt University Law School in 1976.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Aleta_Arthur_Trauger	http://dbpedia.org/resource/Vanderbilt_University
21	Born in Uniontown, Pennsylvania, Marshall was a 1901 graduate of the Virginia Military Institute.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/George_Marshall	http://dbpedia.org/resource/Virginia_Military_Institute
22	Horrocks was educated in Wakefield and at Trinity College, Cambridge, graduating BA in 1755 and MA in 1758.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/James_Horrocks	http://dbpedia.org/resource/Trinity_College,_Cambridge
23	Chandra received his PhD in Computer Science from Stanford University, an MS from University of California, Berkeley, and a BTech from IIT Kanpur.He was previously Director of Database and Distributed Systems at IBM Almaden Research Center.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Ashok_K._Chandra	http://dbpedia.org/resource/University_of_California,_Berkeley
24	Gary Stanley Becker (December 2, 1930 – May 3, 2014) was an American economist and a professor of economics and sociology at the University of Chicago.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Gary_Becker	http://dbpedia.org/resource/University_of_Chicago
25	William Robert Ming, Jr. (May 7, 1911 – June 30, 1973) was an American lawyer, attorney with the National Association for the Advancement of Colored People (NAACP) and law professor at University of Chicago Law School and Howard University School of Law.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/William_Robert_Ming	http://dbpedia.org/resource/University_of_Chicago
26	Bhardwaj graduated from the University of Glasgow with a master's degree in Social Science in 1996.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Raman_Bhardwaj	http://dbpedia.org/resource/University_of_Glasgow
27	Berthold Grünfeld (22 January 1932 – 20 August 2007) was a Norwegian psychiatrist, sexologist, and professor of social medicine at the University of Oslo.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Berthold_Grünfeld	http://dbpedia.org/resource/University_of_Oslo
28	Raman Sundrum did his undergraduate studies at University of Sydney in Australia and received his Ph.D. from Yale University in 1990.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Raman_Sundrum	http://dbpedia.org/resource/Yale_University
29	McClintock received her PhD in botany from Cornell University in 1927.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Barbara_McClintock	http://dbpedia.org/resource/Cornell_University
30	Hailing from Long Island, Pynchon served two years in the United States Navy and earned an English degree from Cornell University.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Thomas_Pynchon	http://dbpedia.org/resource/Cornell_University
31	He established the Dr Tom Parry Jones Endowment Fund at Bangor University in 2002.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Tom_Parry_Jones	http://dbpedia.org/resource/Bangor_University
32	In 1999, Portman enrolled at Harvard University to study psychology, alongside her work as an actress; she completed a bachelor's degree in 2003.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Natalie_Portman	http://dbpedia.org/resource/Harvard_University
33	Born in Lunenburg, Massachusetts, Stearns graduated from Harvard University in 1797.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Asahel_Stearns	http://dbpedia.org/resource/Harvard_University
34	Born in Lichfield, Staffordshire, Johnson attended Pembroke College, Oxford for just over a year, before his lack of funds forced him to leave.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Samuel_Johnson	http://dbpedia.org/resource/Pembroke_College,_Oxford
35	Galloway then attended Princeton Theological Seminary in 1835 and 1836.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Samuel_Galloway	http://dbpedia.org/resource/Princeton_Theological_Seminary
36	Simons holds the Herchel Smith Chair in Physics at the University of Cambridge Cavendish Laboratory.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Benjamin_Simons	http://dbpedia.org/resource/University_of_Cambridge
37	Born in Denver, Colorado, Trauger received a B.A. from Cornell College in 1968, a Master of Arts in Teaching from Vanderbilt University in 1972, and a J.D. from Vanderbilt University Law School in 1976.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Aleta_Arthur_Trauger	http://dbpedia.org/resource/Cornell_College
38	Mondale was born in Ceylon, Minnesota, and graduated from Macalester College in 1951.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Walter_Mondale	http://dbpedia.org/resource/Macalester_College
39	Born in London, Niven attended Heatherdown Preparatory School and Stowe before gaining a place at the Royal Military College, Sandhurst.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/David_Niven	http://dbpedia.org/resource/Royal_Military_College,_Sandhurst
40	Noonan studied at Parade College and the Swinburne University of Technology.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Wade_Noonan	http://dbpedia.org/resource/Swinburne_University_of_Technology
41	William Robert Ming, Jr. (May 7, 1911 – June 30, 1973) was an American lawyer, attorney with the National Association for the Advancement of Colored People (NAACP) and law professor at University of Chicago Law School and Howard University School of Law.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/William_Robert_Ming	http://dbpedia.org/resource/University_of_Chicago_Law_School
42	Clark was also Vice-Chancellor of the University of Tasmania.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Andrew_Inglis_Clark	http://dbpedia.org/resource/University_of_Tasmania
43	After a few years at Rugby School, Sidgwick pursued undergraduate studies at Christ Church, Oxford, and a doctorate at the University of Tübingen.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Nevil_Sidgwick	http://dbpedia.org/resource/University_of_Tübingen
44	Moretti graduated in law at the University of Urbino and has worked as a divorce lawyer since 2001.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Alessandra_Moretti	http://dbpedia.org/resource/University_of_Urbino
45	The son of wealthy textile manufacturer and politician Sir Robert Peel, 1st Baronet, he was educated at Bury Grammar School, Hipperholme Grammar School and Harrow School and earned a double first in classics and mathematics from Christ Church, Oxford.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Robert_Peel	http://dbpedia.org/resource/Christ_Church,_Oxford
46	After a few years at Rugby School, Sidgwick pursued undergraduate studies at Christ Church, Oxford, and a doctorate at the University of Tübingen.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Nevil_Sidgwick	http://dbpedia.org/resource/Christ_Church,_Oxford
47	Rickman trained at the Royal Academy of Dramatic Art in London, and was a member of the Royal Shakespeare Company, performing in modern and classical theatre productions.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Alan_Rickman	http://dbpedia.org/resource/Royal_Academy_of_Dramatic_Art
48	Hooke studied at Wadham College, Oxford during the Protectorate where he became one of a tightly knit group of ardent Royalists led by John Wilkins.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Robert_Hooke	http://dbpedia.org/resource/Wadham_College,_Oxford
49	Agnew was born in Baltimore, Maryland, and was a graduate of Johns Hopkins University and University of Baltimore School of Law.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Spiro_Agnew	http://dbpedia.org/resource/University_of_Baltimore_School_of_Law
50	Born in Denver, Colorado, Trauger received a B.A. from Cornell College in 1968, a Master of Arts in Teaching from Vanderbilt University in 1972, and a J.D. from Vanderbilt University Law School in 1976.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Aleta_Arthur_Trauger	http://dbpedia.org/resource/Vanderbilt_University_Law_School
51	Yeomans was educated at Manchester High School for Girls, Somerville College, Oxford (where she was awarded a Bachelor of Arts degree in Physics in 1976) and Wolfson College, Oxford where she was awarded a DPhil degree in Theoretical Physics in 1979).	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Julia_Yeomans	http://dbpedia.org/resource/Somerville_College,_Oxford
52	Neuhouser graduated from Wabash College (Crawfordsville, IN), summa cum laude, 1979, and received his Ph.D. from Columbia University.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Frederick_Neuhouser	http://dbpedia.org/resource/Wabash_College
53	Born in Evansville, Indiana, Messer is a graduate of Wabash College and Vanderbilt University Law School.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Luke_Messer	http://dbpedia.org/resource/Wabash_College
54	Timberlake holds an associate degree in business management from Central Maine Community College.	http://dbpedia.org/ontology/almaMater	http://dbpedia.org/resource/Jeffrey_Timberlake	http://dbpedia.org/resource/Central_Maine_Community_College
