id	text	property	subject	object
0	Bridges was the matriarch of an acting family, which included her late husband, Lloyd Bridges, her sons, Beau Bridges and Jeff Bridges, and her grandson, Jordan Bridges.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Dorothy_Bridges	http://dbpedia.org/resource/Jeff_Bridges
1	Daley is the father of Richard M. Daley, also a former mayor of Chicago, William M. Daley, a former United States Secretary of Commerce, and John P. Daley, a member of the Cook County Board of Commissioners.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Richard_J._Daley	http://dbpedia.org/resource/Richard_M._Daley
2	Saltonstall was a great-grandfather of Massachusetts Governor and U.S. Senator Leverett Saltonstall, 1892-1979.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Leverett_Saltonstall_I	http://dbpedia.org/resource/Leverett_Saltonstall
3	He was the brother of actor Guy Kibbee and his daughter was actress Lois Kibbee.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Milton_Kibbee	http://dbpedia.org/resource/Lois_Kibbee
4	Morgenthau was the father of Robert M. Morgenthau, who was District Attorney of Manhattan for 35 years.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Henry_Morgenthau_Jr.	http://dbpedia.org/resource/Robert_M._Morgenthau
5	His daughter Nirupama Rajapaksa is a current Member of Parliament and former Deputy Minister of Tourism and son Shyamlal Rajapaksa was a former Provincial Councilor and prosecutor for the International Criminal Tribunal for Rwanda.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/George_Rajapaksa	http://dbpedia.org/resource/Shyamlal_Rajapaksa
6	This article is about the father, the 1st baronet; see Sir John Ellerman, 2nd Baronet for the son.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Sir_John_Ellerman,_1st_Baronet	http://dbpedia.org/resource/Sir_John_Ellerman,_2nd_Baronet
7	Max Weinreich (22 April 1894 in Kuldīga, Russian Empire, now Latvia – 29 January 1969 in New York City, United States) was a linguist, specializing in sociolinguistics and the Yiddish language, and the father of the linguist Uriel Weinreich, who edited the Modern Yiddish-English English-Yiddish Dictionary.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Max_Weinreich	http://dbpedia.org/resource/Uriel_Weinreich
8	Cryer and his first wife, the songwriter Gretchen Cryer, are the parents of the actor Jon Cryer and his sister Robin Cryer Hyland.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/David_Cryer	http://dbpedia.org/resource/Jon_Cryer
9	His son Aubin-Edmond Arsenault was Premier of Prince Edward Island and his son Joseph-Félix Arsenault served in the provincial assembly.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Joseph-Octave_Arsenault	http://dbpedia.org/resource/Joseph-Félix_Arsenault
10	He is the owner of Kroenke Sports Enterprises, which includes the Denver Nuggets of the NBA, Colorado Avalanche of the NHL, Colorado Rapids of Major League Soccer, Colorado Mammoth of the National Lacrosse League and the Los Angeles Rams of the NFL (the Colorado sports properties are in the name of Josh Kroenke, one of his children, to satisfy NFL ownership restrictions that forbid a team owner from owning teams in other markets).	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Stan_Kroenke	http://dbpedia.org/resource/Josh_Kroenke
11	Knorre's father, Ernst Friedrich Knorre, and his son, Viktor Knorre, were also prominent astronomers.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Karl_Friedrich_Knorre	http://dbpedia.org/resource/Viktor_Knorre
12	Actress Vera Alentova, who starred in the film, is the mother of Vladimir Menshov's daughter Yuliya Menshova.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Vladimir_Menshov	http://dbpedia.org/resource/Yuliya_Menshova
13	Fonda was the patriarch of a family of famous actors, including daughter Jane Fonda, son Peter Fonda, granddaughter Bridget Fonda, and grandson Troy Garity.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Henry_Fonda	http://dbpedia.org/resource/Peter_Fonda
14	Piraquive is the mother of the Colombian Senator Alexandra Moreno Piraquive.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/María_Luisa_Piraquive	http://dbpedia.org/resource/Alexandra_Moreno_Piraquive
15	She is the wife of Uday Shankar and mother of Ananda Shankar and Mamata Shankar and sister-in-law of Ravi Shankar.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Amala_Shankar	http://dbpedia.org/resource/Ananda_Shankar
16	In The Force Awakens (2015), Leia is the founder and General of the Resistance against the First Order and has a son with Han named Ben, who now goes by the name Kylo Ren.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Princess_Leia	http://dbpedia.org/resource/Kylo_Ren
17	She is the wife of Uday Shankar and mother of Ananda Shankar and Mamata Shankar and sister-in-law of Ravi Shankar.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Amala_Shankar	http://dbpedia.org/resource/Mamata_Shankar
18	Burroughs had one child, William S. Burroughs, Jr. (1947–1981), with his second wife Joan Vollmer.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/William_S._Burroughs	http://dbpedia.org/resource/William_S._Burroughs,_Jr.
19	Frances Ruth Shand Kydd (née Roche; 20 January 1936 – 3 June 2004) was the mother of Diana, Princess of Wales.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Frances_Shand_Kydd	http://dbpedia.org/resource/Diana,_Princess_of_Wales
20	Ekaterine "Keke" Geladze (Georgian: ეკატერინე "კეკე" გელაძე; 5 February 1858 – 4 June 1937) was the mother of Joseph Stalin.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Keke_Geladze	http://dbpedia.org/resource/Joseph_Stalin
21	She was the wife of Carl Reiner and the mother of actor/comedian/director/activist Rob Reiner.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Estelle_Reiner	http://dbpedia.org/resource/Rob_Reiner
22	During his 46-year career, Huston received 15 Oscar nominations, won twice, and directed both his father, Walter Huston, and daughter, Anjelica Huston, to Oscar wins in different films.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/John_Huston	http://dbpedia.org/resource/Anjelica_Huston
23	Alexander married the widowed Euphemia I, Countess of Ross, but they had no children although he did have a large family by his longtime mistress, Mairead inghean Eachann.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Alexander_Stewart,_Earl_of_Buchan	http://dbpedia.org/resource/Mairead_inghean_Eachann
24	Born when Enosh was ninety years old, Kenan fathered Mahalalel when he was seventy.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Kenan	http://dbpedia.org/resource/Mahalalel
25	Devdas and Lakshmi had four children, Rajmohan Gandhi, Gopalkrishna Gandhi, Ramchandra Gandhi and Tara Gandhi Bhattacharjee (born 24 April 1934, New Delhi).	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Devdas_Gandhi	http://dbpedia.org/resource/Gopalkrishna_Gandhi
26	Before Stanton narrowed her political focus almost exclusively to women's rights, she was an active abolitionist with her husband Henry Brewster Stanton (co-founder of the Republican Party) and cousin Gerrit Smith.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Elizabeth_Cady_Stanton	http://dbpedia.org/resource/Henry_Brewster_Stanton
27	Mason was the father of George Mason IV, a Founding Father of the United States.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/George_Mason_III	http://dbpedia.org/resource/George_Mason
28	James "Jim" McCartney (7 July 1902 – 18 March 1976) and Mary Patricia McCartney (née Mohan) (29 September 1909 – 31 October 1956) were the parents of musician, author and artist Paul McCartney of the Beatles and Wings, and younger brother photographer and musician Mike McCartney (better known professionally as Mike McGear), who worked with the comedy rock trio the Scaffold.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Jim_and_Mary_McCartney	http://dbpedia.org/resource/Paul_McCartney
29	Park's first-born daughter, Park Geun-hye, is the current President of South Korea.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Park_Chung-hee	http://dbpedia.org/resource/Park_Geun-hye
30	Fonda was the patriarch of a family of famous actors, including daughter Jane Fonda, son Peter Fonda, granddaughter Bridget Fonda, and grandson Troy Garity.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Henry_Fonda	http://dbpedia.org/resource/Jane_Fonda
31	Autzen's heirs, led by his son Thomas E. Autzen, operated the foundation after his death, per the terms of his will.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Thomas_J._Autzen	http://dbpedia.org/resource/Thomas_E._Autzen
32	Pauline Monica Mole (or Pauline Hilda, depending on the book) (née Sugden, previously Muffet and Braithwaite) is a fictional character from the Adrian Mole series, written by Sue Townsend.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Pauline_Mole	http://dbpedia.org/resource/Adrian_Mole
33	The following is a list of characters of Monk, an American comedy-drama detective mystery television series, created by Andy Breckman and starring Tony Shalhoub as the titular character, Adrian Monk.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/List_of_Monk_characters	http://dbpedia.org/resource/Adrian_Monk
34	Six months after Thurmond died in 2003, his mixed-race, then 78-year-old daughter Essie Mae Washington-Williams (1925–2013) revealed he was her father.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Strom_Thurmond	http://dbpedia.org/resource/Essie_Mae_Washington-Williams
