0	Carter Harrison Sr.	Children	Carter Harrison Jr.	Section	2	Carter Harrison Jr.	exact	On October 28, 1893, two days before the close of the Exposition, Harrison was murdered in his home by Patrick Eugene Prendergast, a disgruntled office seeker. Harrison was buried in Chicago's Graceland Cemetery. Prendergast was hanged on July 13, 1894. Harrison was Chicago's first five-time elected mayor; eventually his son Carter Harrison Jr.	http://nif.dbpedia.org/wiki/en/Carter_Harrison_Sr.?dbpv=2016-10&nif=phrase&char=2648,2667
2	Dorothy Bridges	Children	Jeff Bridges	Abstract	0	Jeff Bridges	exact	Dorothy Louise Bridges (née Simpson; September 19, 1915 – February 16, 2009) was an American actress and poet. Bridges was the matriarch of an acting family, which included her late husband, Lloyd Bridges, her sons, Beau Bridges and Jeff Bridges	http://nif.dbpedia.org/wiki/en/Dorothy_Bridges?dbpv=2016-10&nif=phrase&char=233,245
3	Darth Vader	Children	Luke Skywalker	Abstract	0	Luke Skywalker	exact	The character was created by George Lucas and has been portrayed by numerous actors. His appearances span the first six Star Wars films, and his character is heavily referenced in Star Wars: The Force Awakens. He is also an important character in the Star Wars expanded universe of television series, video games, novels, literature and comic books. Originally a Jedi prophesied to bring balance to the Force, he falls to the dark side of the Force and serves the evil Galactic Empire at the right hand of his Sith master, Emperor Palpatine (also known as Darth Sidious). He is also the father of Luke Skywalker	http://nif.dbpedia.org/wiki/en/Darth_Vader?dbpv=2016-10&nif=phrase&char=910,924
4	Padmé Amidala	Children	Luke Skywalker	Abstract	0	Luke Skywalker	exact	Padmé Amidala (born Padmé Naberrie) is a fictional character in the Star Wars universe, appearing in the prequel trilogy portrayed by actress Natalie Portman. She served as the Princess of Theed and later Queen of Naboo. After her reign, she becomes a senator in the Galactic Senate. She is the secret wife of Anakin Skywalker, the mother of Luke Skywalker	http://nif.dbpedia.org/wiki/en/Padmé_Amidala?dbpv=2016-10&nif=phrase&char=342,356
5	Darth Vader	Children	Princess Leia	Abstract	0	Princess Leia Organa	partial	The character was created by George Lucas and has been portrayed by numerous actors. His appearances span the first six Star Wars films, and his character is heavily referenced in Star Wars: The Force Awakens. He is also an important character in the Star Wars expanded universe of television series, video games, novels, literature and comic books. Originally a Jedi prophesied to bring balance to the Force, he falls to the dark side of the Force and serves the evil Galactic Empire at the right hand of his Sith master, Emperor Palpatine (also known as Darth Sidious). He is also the father of Luke Skywalker and Princess Leia Organa	http://nif.dbpedia.org/wiki/en/Darth_Vader?dbpv=2016-10&nif=phrase&char=929,949
6	Padmé Amidala	Children	Princess Leia	Abstract	0	Princess Leia Organa	partial	Padmé Amidala (born Padmé Naberrie) is a fictional character in the Star Wars universe, appearing in the prequel trilogy portrayed by actress Natalie Portman. She served as the Princess of Theed and later Queen of Naboo. After her reign, she becomes a senator in the Galactic Senate. She is the secret wife of Anakin Skywalker, the mother of Luke Skywalker and Princess Leia Organa	http://nif.dbpedia.org/wiki/en/Padmé_Amidala?dbpv=2016-10&nif=phrase&char=361,381
7	Richard J. Daley	Children	Richard M. Daley	Abstract	0	Richard M. Daley	exact	Daley played a major role in the history of the Democratic Party, especially with his support of John F. Kennedy in 1960 and of Hubert Humphrey in 1968. Daley is the father of Richard M. Daley	http://nif.dbpedia.org/wiki/en/Richard_J._Daley?dbpv=2016-10&nif=phrase&char=1020,1036
7	Richard J. Daley	Children	Richard M. Daley	Section	2.1	Richard M. Daley	exact	Daley met Eleanor "Sis" Guilfoyle at a local ball game. He courted "Sis" for six years, during which time he finished law school and was established in his legal profession. They were married on June 17, 1936, and lived in a modest brick bungalow at 3536 South Lowe Avenue in the heavily Irish-American neighborhood of Bridgeport, just blocks from his birthplace. They had three daughters and four sons, in that order. Their eldest son, Richard M. Daley	http://nif.dbpedia.org/wiki/en/Richard_J._Daley?dbpv=2016-10&nif=phrase&char=5690,5706
11	Luis Sáenz Peña	Children	Roque Sáenz Peña	Abstract	0	Roque Sáenz Peña	exact	Luis Sáenz Peña Davila (April 2, 1822 – December 4, 1907) was a lawyer and President of Argentina. He was the father of president Roque Sáenz Peña	http://nif.dbpedia.org/wiki/en/Luis_Sáenz_Peña?dbpv=2016-10&nif=phrase&char=130,146
12	Mohan V. Raman	Children	Vidyullekha Raman	Abstract	0	Vidyullekha Raman	exact	Mohan Venkata Pattabhi Raman (born April 3, 1956) is an Indian film and television actor and management trainer. He is acclaimed for playing supportive or negative roles in Tamil television serials prominent ones being Marmadesam and Chidambara Rahasiyam directed by Tamil director Naga. He is the eldest son of lawyer and politician V. P. Raman and elder brother of P. S. Raman, Former Advocate-General of Tamil Nadu. His daughter Vidyullekha Raman	http://nif.dbpedia.org/wiki/en/Mohan_V._Raman?dbpv=2016-10&nif=phrase&char=432,449
