id	text	property	subject	object
0	Bridges was the matriarch of an acting family, which included her late husband, Lloyd Bridges, her sons, Beau Bridges and Jeff Bridges, and her grandson, Jordan Bridges.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Dorothy_Bridges	http://dbpedia.org/resource/Jeff_Bridges
1	He is also the father of Luke Skywalker and Princess Leia Organa, grandfather of Kylo Ren, and secret husband of Padmé Amidala.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Darth_Vader	http://dbpedia.org/resource/Luke_Skywalker
2	She is the secret wife of Anakin Skywalker, the mother of Luke Skywalker and Princess Leia Organa and the grandmother of Kylo Ren.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Padmé_Amidala	http://dbpedia.org/resource/Luke_Skywalker
3	He is also the father of Luke Skywalker and Princess Leia Organa, grandfather of Kylo Ren, and secret husband of Padmé Amidala.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Darth_Vader	http://dbpedia.org/resource/Princess_Leia
4	She is the secret wife of Anakin Skywalker, the mother of Luke Skywalker and Princess Leia Organa and the grandmother of Kylo Ren.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Padmé_Amidala	http://dbpedia.org/resource/Princess_Leia
5	Daley is the father of Richard M. Daley, also a former mayor of Chicago, William M. Daley, a former United States Secretary of Commerce, and John P. Daley, a member of the Cook County Board of Commissioners.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Richard_J._Daley	http://dbpedia.org/resource/Richard_M._Daley
6	NO_SENTENCE_SELECTED_:::Luis Sáenz Peña Davila (April 2, 1822 – December 4, 1907) was a lawyer and President of Argentina. He was the father of president Roque Sáenz Peña----0-0 ----EndIndex----146 ---- Mention ---Roque Sáenz Peña	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Luis_Sáenz_Peña	http://dbpedia.org/resource/Roque_Sáenz_Peña
7	His daughter Vidyullekha Raman made her debut in Neethane En Ponvasantham He is also the uncle of Gautam.S.Raman.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Mohan_V._Raman	http://dbpedia.org/resource/Vidyullekha_Raman
8	He is the father of Daniel Genis, writer and journalist.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Alexander_Genis	http://dbpedia.org/resource/Daniel_Genis
9	His only surviving son, Daniel Parke Custis, was the first husband of Martha Washington.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/John_Custis	http://dbpedia.org/resource/Daniel_Parke_Custis
10	His eldest son George Mason VI received the eastern tract with the ownership privilege of either Lexington or Gunston Hall, of which he chose the latter.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/George_Mason_V	http://dbpedia.org/resource/George_Mason_VI
11	She was also known as the mother of Iichirō Hatoyama, who was Japan's Foreign Minister from 1976 through 1977.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Kaoru_Hatoyama	http://dbpedia.org/resource/Iichirō_Hatoyama
12	Saltonstall was a great-grandfather of Massachusetts Governor and U.S. Senator Leverett Saltonstall, 1892-1979.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Leverett_Saltonstall_I	http://dbpedia.org/resource/Leverett_Saltonstall
13	NO_SENTENCE_SELECTED_:::Milton Kibbee (January 27, 1896 – April 17, 1970) was an American film actor. He appeared in more than 360 films between 1933 and 1953. He was the brother of actor Guy Kibbee and his daughter was actress Lois Kibbee.----0-0 ----EndIndex----215 ---- Mention ---Lois Kibbee	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Milton_Kibbee	http://dbpedia.org/resource/Lois_Kibbee
14	He is known for producing several popular Bollywood blockbusters such as Seeta Aur Geeta (1972), Shaan (1980), Saagar (1985), Raju Ban Gaya Gentleman and his magnum opus, Sholay (along with his son Ramesh Sippy).	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/G._P._Sippy	http://dbpedia.org/resource/Ramesh_Sippy
15	Prior to her marriage she had given birth to another son, the Irish member of parliament Richard Boyd Barrett (b.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Sinéad_Cusack	http://dbpedia.org/resource/Richard_Boyd_Barrett
16	Morgenthau was the father of Robert M. Morgenthau, who was District Attorney of Manhattan for 35 years.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Henry_Morgenthau_Jr.	http://dbpedia.org/resource/Robert_M._Morgenthau
17	His son Rohan Sippy is a film director.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Ramesh_Sippy	http://dbpedia.org/resource/Rohan_Sippy
18	His daughter Nirupama Rajapaksa is a current Member of Parliament and former Deputy Minister of Tourism and son Shyamlal Rajapaksa was a former Provincial Councilor and prosecutor for the International Criminal Tribunal for Rwanda.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/George_Rajapaksa	http://dbpedia.org/resource/Shyamlal_Rajapaksa
19	This article is about the father, the 1st baronet; see Sir John Ellerman, 2nd Baronet for the son.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Sir_John_Ellerman,_1st_Baronet	http://dbpedia.org/resource/Sir_John_Ellerman,_2nd_Baronet
20	Max Weinreich (22 April 1894 in Kuldīga, Russian Empire, now Latvia – 29 January 1969 in New York City, United States) was a linguist, specializing in sociolinguistics and the Yiddish language, and the father of the linguist Uriel Weinreich, who edited the Modern Yiddish-English English-Yiddish Dictionary.	http://dbpedia.org/ontology/child	http://dbpedia.org/resource/Max_Weinreich	http://dbpedia.org/resource/Uriel_Weinreich
